Front,Back,Week,Status,Frequency,PartOfSpeech
German for: apple (অ্যাপল); include article and plural,"Apfel | plural: -Ä | IPA: dɛɾ ˈapfəl | Ein Pfund Äpfel bitte. | One pound of apples, please. | বাংলা সহায়তা: “অ্যাপল” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",4,active,very common,noun
German for: restaurant (রেস্টুরেন্ট); include article and plural,Restaurant | plural: -s | IPA: das rˌɛstaʊrˈant | Wir essen heute in einem Restaurant. | We are eating at a restaurant today. | বাংলা সহায়তা: “রেস্টুরেন্ট” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,noun
German for: shoe (জুতা); include article and plural,Schuh | plural: -e | IPA: dɛɾ ʃˈuː | Zieh die Schuhe aus! | Take your shoes off! | বাংলা সহায়তা: “জুতা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,noun
German for: tea (চা); include article and plural,Tee | plural: — | IPA: dɛɾ tˈeː | Ich trinke morgens immer Tee. | I always drink tea in the morning. | বাংলা সহায়তা: “চা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,noun
German for: to drink (পানীয়),trinken | plural: — | IPA: tɾˈɪŋkən | Möchtest du etwas trinken? | Would you like something to drink? | বাংলা সহায়তা: “পানীয়” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,verb
German for: to pay (প্রদান করা),"zahlen | plural: — | IPA: tsˈɑːlən | Wir möchten zahlen, bitte! | We’d like to pay, please! | বাংলা সহায়তা: “প্রদান করা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",4,active,very common,verb
German for: mineral water (মিনারেল পানি); include article and plural,Mineralwasser | plural: - | IPA: das mˈiːneːrˌalvasɜ | Das ist das Mineralwasser. | This is the mineral water. | এটি মিনারেল পানি।,4,active,very common,noun
German for: juice (রস); include article and plural,Saft | plural: Säfte | IPA: dɛɾ zˈaft | Das ist der Saft. | This is the juice. | এটি রস।,4,active,very common,noun
German for: chicken (মুরগির মাংস); include article and plural,Hähnchen | plural: - | IPA: das hˈɛːnçən | Das ist das Hähnchen. | This is the chicken. | এটি মুরগির মাংস।,4,active,very common,noun
German for: rice (ভাত বা চাল); include article and plural,der Reis | plural: - | IPA: dɛɾ rˈaɪs | Wir benutzen heute „der Reis“. | Today we use “rice”. | আজ আমরা “ভাত বা চাল” অর্থটি ব্যবহার করি।,4,active,very common,noun
German for: lentil (ডাল); include article and plural,Linse | plural: -n | IPA: diː lˈɪnzə | Das ist die Linse. | This is the lentil. | এটি ডাল।,4,active,very common,noun
German for: vegetables (সবজি); include article and plural,Gemüse | plural: - | IPA: das ɡəmˈyːzə | Das ist das Gemüse. | This is the vegetables. | এটি সবজি।,4,active,very common,noun
German for: fruit (ফল); include article and plural,Obst | plural: - | IPA: das ˈoːpst | Das ist das Obst. | This is the fruit. | এটি ফল।,4,active,very common,noun
German for: menu (খাবারের তালিকা); include article and plural,Speisekarte | plural: -n | IPA: diː ʃpˈaɪzeːkˌaɾtə | Das ist die Speisekarte. | This is the menu. | এটি খাবারের তালিকা।,4,active,very common,noun
German for: bill (বিল); include article and plural,Rechnung | plural: -en | IPA: diː rˈɛçnʊŋ | Das ist die Rechnung. | This is the bill. | এটি বিল।,4,active,very common,noun
German for: tip (বকশিশ); include article and plural,Trinkgeld | plural: -er | IPA: das tɾˈɪŋkɡɛlt | Das ist das Trinkgeld. | This is the tip. | এটি বকশিশ।,4,active,very common,noun
German for: vegetarian (নিরামিষ),vegetarisch | plural: — | IPA: vˌeːɡeːtˈɑrɪʃ | Wir benutzen heute „vegetarisch“. | Today we use “vegetarian”. | আজ আমরা “নিরামিষ” অর্থটি ব্যবহার করি।,4,active,very common,adjective
German for: spicy (ঝাল),scharf | plural: — | IPA: ʃˈaɾf | Wir benutzen heute „scharf“. | Today we use “spicy”. | আজ আমরা “ঝাল” অর্থটি ব্যবহার করি।,4,active,very common,adjective
German for: sweet (মিষ্টি),süß | plural: — | IPA: zˈyːs | Wir benutzen heute „süß“. | Today we use “sweet”. | আজ আমরা “মিষ্টি” অর্থটি ব্যবহার করি।,4,active,very common,adjective
German for: salty (লবণাক্ত),salzig | plural: — | IPA: zˈaltsɪç | Wir benutzen heute „salzig“. | Today we use “salty”. | আজ আমরা “লবণাক্ত” অর্থটি ব্যবহার করি।,4,active,very common,adjective
German for: changing room (পোশাক বদলের কক্ষ); include article and plural,Umkleidekabine | plural: -n | IPA: diː ʊmklˈaɪdeːkˌɑbɪnə | Das ist die Umkleidekabine. | This is the changing room. | এটি পোশাক বদলের কক্ষ।,4,active,very common,noun
German for: checkout (ক্যাশ কাউন্টার); include article and plural,Kasse | plural: -n | IPA: diː kˈasə | Das ist die Kasse. | This is the checkout. | এটি ক্যাশ কাউন্টার।,4,active,very common,noun
German for: discount (ছাড়); include article and plural,Rabatt | plural: -e | IPA: dɛɾ rˈɑbat | Das ist der Rabatt. | This is the discount. | এটি ছাড়।,4,active,very common,noun
German for: receipt (রসিদ); include article and plural,Quittung | plural: -en | IPA: diː kvˈɪtʊŋ | Das ist die Quittung. | This is the receipt. | এটি রসিদ।,4,active,very common,noun
German for: to try on (পরে দেখা),anprobieren | plural: — | IPA: ˈanpɾoːbˌiːrən | Wir üben heute das Verb „anprobieren“. | Today we practise the verb “to try on”. | আজ আমরা “পরে দেখা” অর্থের ক্রিয়াটি অনুশীলন করি।,4,active,very common,verb
German for: to fit (মাপমতো হওয়া),passen | plural: — | IPA: pˈasən | Wir üben heute das Verb „passen“. | Today we practise the verb “to fit”. | আজ আমরা “মাপমতো হওয়া” অর্থের ক্রিয়াটি অনুশীলন করি।,4,active,very common,verb
German for: internet (ইন্টারনেট); include article and plural,Internet | plural: — | IPA: das ˈɪntɜnˌɛt | Das findest du im Internet. | You will find that on the internet. | বাংলা সহায়তা: “ইন্টারনেট” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,noun
German for: jacket (জ্যাকেট); include article and plural,Jacke | plural: -n | IPA: diː jˈakə | Zieh dir eine Jacke an. Es ist kalt. | Put your jacket on. It’s cold. | বাংলা সহায়তা: “জ্যাকেট” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,noun
German for: youth/young person (যুবা); include article and plural,Jugendliche | plural: -n | IPA: dɛɾ jˈuːɡəntlˌɪçə | Viele Jugendliche kaufen gern ein. | Many youths like shopping. | বাংলা সহায়তা: “যুবা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,noun
German for: boy (বালক); include article and plural,Junge | plural: -n | IPA: dɛɾ jˈʊŋə | Ich habe zwei Kinder. Einen Jungen und ein Mädchen. | I have two children. One boy and one girl. | বাংলা সহায়তা: “বালক” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,noun
German for: … (প্রাসঙ্গিক বাক্যাংশ),kaputt | plural: — | IPA: kˈɑpʊt | Das Glas war teuer. Es geht sehr leicht kaputt. | The glass was expensive. It will break very easily. | বাংলা সহায়তা: “প্রাসঙ্গিক বাক্যাংশ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,adjective/adverb/other
German for: broken (ভাঙা),kaputt | plural: — | IPA: kˈɑpʊt | Das Glas ist kaputt. | The glass is broken. | বাংলা সহায়তা: “ভাঙা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,adjective/adverb/other
German for: card (কার্ড); include article and plural,Karte | plural: -n | IPA: diː kˈaɾtə | Ich schreibe meinen Bekannten eine Karte aus dem Urlaub. | I’ll write my acquaintances a card from holiday. | বাংলা সহায়তা: “কার্ড” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,noun
German for: card (কার্ড); include article and plural,Karte | plural: -n | IPA: diː kˈaɾtə | Wollen wir Karten spielen? | Shall we play cards? | বাংলা সহায়তা: “কার্ড” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,noun
German for: menu (মেনু); include article and plural,"Karte | plural: -n | IPA: diː kˈaɾtə | Ich möchte auch etwas essen. Bringen Sie mir die Karte, bitte. | I also want to eat something. Please bring me the menu. | বাংলা সহায়তা: “মেনু” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",4,active,very common,noun
German for: (credit) card (কার্ড),(Kredit)-Karte | plural: -n | IPA: — | Kann ich auch mit Karte (be-) zahlen? | Can I also pay by card? | বাংলা সহায়তা: “কার্ড” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,adjective/adverb/other
German for: potato (আলু); include article and plural,Kartoffel | plural: -n | IPA: diː kaɾtˈɔfəl | Für Pommes frites braucht man Kartoffeln. | For chips you need potatoes. | বাংলা সহায়তা: “আলু” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,noun
German for: till (পর্যন্ত); include article and plural,Kasse | plural: — | IPA: diː kˈasə | Zahlen Sie bitte an der Kasse. | Please pay at the till. | বাংলা সহায়তা: “পর্যন্ত” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,noun
German for: no/none (না),kein | plural: — | IPA: kˈaɪn | Es gibt keine Eintrittskarten mehr. | There are no more tickets. | বাংলা সহায়তা: “না” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,adjective/adverb/other
German for: kindergarten (শিশু বিদ্যালয়); include article and plural,Kindergarten | plural: — | IPA: dɛɾ kˈɪndɜɡˌaɾtən | Die kleine Laura geht schon in den Kindergarten. | Little Laura is already going to kindergarten. | বাংলা সহায়তা: “শিশু বিদ্যালয়” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,noun
German for: kiosk (কিয়স্ক); include article and plural,"Kiosk | plural: — | IPA: dɛɾ kˈɪoːsk | Am Kiosk bekommen Sie Getränke, Zigaretten und Zeitungen. | At the kiosk you can get drinks, cigarettes, and newspapers. | বাংলা সহায়তা: “কিয়স্ক” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",4,active,very common,noun
German for: of course / naturally (অবশ্যই বা স্বাভাবিকভাবে),klar | plural: — | IPA: klˈɑːɾ | Kommst du mit? / Klar! | Are you coming with us? / Of course! | বাংলা সহায়তা: “অবশ্যই বা স্বাভাবিকভাবে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,adjective/adverb/other
German for: class (শ্রেনী); include article and plural,Klasse | plural: — | IPA: diː klˈasə | In unserer Klasse sind fünfundzwanzig Schüler. | In our class there are twenty five pupils. | বাংলা সহায়তা: “শ্রেনী” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,noun
German for: class (শ্রেনী); include article and plural,Klasse | plural: — | IPA: diː klˈasə | Im Zug fahre ich immer 2. Klasse. | On the train I always travel in second class. | বাংলা সহায়তা: “শ্রেনী” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,noun
German for: suitcase (স্যুটকেস); include article and plural,Koffer | plural: – | IPA: dɛɾ kˈɔfɜ | Ist das Ihr Koffer? | Is that your suitcase? | বাংলা সহায়তা: “স্যুটকেস” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,noun
German for: colleague (সহকর্মী); include article and plural,Kollege | plural: -n | IPA: dɛɾ kɔlˈeːɡə | ßt die neue Kollegin? | What’s the new colleague called? | বাংলা সহায়তা: “সহকর্মী” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,noun
German for: account (অ্যাকাউন্ট); include article and plural,Konto | plural: — | IPA: das kɔntˈoː | Das Geld überweisen wir am ersten März auf Ihr Konto. | We will transfer the money to your account on the first of March. | বাংলা সহায়তা: “অ্যাকাউন্ট” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,noun
German for: cake (কেক); include article and plural,Kuchen | plural: — | IPA: dɛɾ kˈʊxən | Ich nehme ein Stück Kuchen. | I’ll have a piece of cake. | বাংলা সহায়তা: “কেক” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,noun
German for: ball-point pen (বলপেন); include article and plural,Kugelschreiber | plural: — | IPA: dɛɾ kˈuːɡəlʃrˌaɪbɜ | Hast du einen Kugelschreiber für mich? | Do you have a pen I can borrow? | বাংলা সহায়তা: “বলপেন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,noun
German for: fridge (ফ্রিজ); include article and plural,"Kühlschrank | plural: — | IPA: dɛɾ kˈyːlʃraŋk | Haben wir noch Milch? / Ja, im Kühlschrank. | Do we still have milk? / Yes, in the fridge. | বাংলা সহায়তা: “ফ্রিজ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",4,active,very common,noun
German for: interested in culture (সংস্কৃতিতে আগ্রহী),kulturell interessiert | plural: — | IPA: kˌʊltuːrˈɛl ˌɪntərɛsˈiːɾt | Ich bin kulturell interessiert. Ich gehe oft ins Museum. | I am interested in culture. I often go to the museum. | বাংলা সহায়তা: “সংস্কৃতিতে আগ্রহী” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,adjective/adverb/other
German for: cultural (সাংস্কৃতিক),kulturell | plural: — | IPA: kˌʊltuːrˈɛl | Die Geschichte ist kulturell wichtig. | History is culturally important. | বাংলা সহায়তা: “সাংস্কৃতিক” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,adjective/adverb/other
German for: customer (গ্রাহক); include article and plural,"Kunde | plural: -n | IPA: dɛɾ kˈʊndə | Einen Moment, bitte. Ich habe eine Kundin. | One moment, please. I have a customer. | বাংলা সহায়তা: “গ্রাহক” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",4,active,very common,noun
German for: course (বিষয়); include article and plural,Kurs | plural: -e | IPA: dɛɾ kˈuːɾs | Der Deutschkurs geht bis zum Sommer. | The German course runs until summer. | বাংলা সহায়তা: “বিষয়” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,noun
German for: short (ছোট),kurz | plural: — | IPA: kˈʊɐts | Ricardo hat kurzes Haar. | Ricardo has short hair. | বাংলা সহায়তা: “ছোট” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,adjective/adverb/other
German for: long (দীর্ঘ),lang | plural: — | IPA: lˈaŋ | Die Jeans ist zu lang. | The jeans are too long. | বাংলা সহায়তা: “দীর্ঘ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,adjective/adverb/other
German for: long (দীর্ঘ),lange | plural: — | IPA: lˈaŋə | Wie lange fährt der Zug von Hamburg nach Berlin? | How long is the train journey from Hamburg to Berlin? | বাংলা সহায়তা: “দীর্ঘ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,adjective/adverb/other
German for: slow (ধীর),langsam | plural: — | IPA: lˈaŋzɑːm | Könnten Sie bitte etwas langsamer sprechen? | Can you please speak a little slower? | বাংলা সহায়তা: “ধীর” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,adjective/adverb/other
German for: loud (প্রবল),laut | plural: — | IPA: lˈaʊt | Nicht so laut! Das Baby schläft. | Not so loud! The baby is sleeping. | বাংলা সহায়তা: “প্রবল” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,adjective/adverb/other
German for: life (জীবন); include article and plural,Leben | plural: — | IPA: das lˈeːbən | Das Leben in diesem Land ist teuer. | Life in this country is expensive. | বাংলা সহায়তা: “জীবন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,noun
German for: single (একক),ledig | plural: — | IPA: lˈeːdɪç | Sind Sie verheiratet? / Nein. Ledig. | Are you married? / No. Single. | বাংলা সহায়তা: “একক” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,adjective/adverb/other
German for: light (weight) (জ্বালানো),leicht | plural: — | IPA: lˈaɪçt | Der Koffer ist leicht. | The suitcase is light. | বাংলা সহায়তা: “জ্বালানো” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,adjective/adverb/other
German for: easy (সহজ),leicht | plural: — | IPA: lˈaɪçt | Deutsch ist nicht leicht. | German is not easy. | বাংলা সহায়তা: “সহজ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,adjective/adverb/other
German for: unfortunately (দুর্ভাগ্যবশত),leider | plural: — | IPA: lˈaɪdɜ | Leider kann ich nicht kommen. Ich muss zum Arzt. | Unfortunately I can’t come. I need to go to the doctor. | বাংলা সহায়তা: “দুর্ভাগ্যবশত” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,adjective/adverb/other
German for: quiet (শান্ত),leise | plural: — | IPA: lˈaɪzə | Seid leise. Die anderen schlafen schon. | Be quiet. The others are already asleep. | বাংলা সহায়তা: “শান্ত” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,adjective/adverb/other
German for: last (শেষ),letzt- | plural: — | IPA: lˈɛtst | Morgen ist der letzte Kurstag. | Tomorrow is the last day of the course. | বাংলা সহায়তা: “শেষ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,adjective/adverb/other
German for: people (জনগণ); include article and plural,Leute (pl.) | plural: — | IPA: diː lˈɔøtə | In der Disko sind viele Leute. | There are a lot of people at the disco. | বাংলা সহায়তা: “জনগণ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,noun
German for: light (জ্বালানো); include article and plural,Licht | plural: — | IPA: das lˈɪçt | Wo macht man hier das Licht an? | Where do you switch on the light here? | বাংলা সহায়তা: “জ্বালানো” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,noun
German for: dear (প্রিয়),"lieb- | plural: — | IPA: lˈiːp | Liebe Susanne, lieber Hans, | Dear Susanne, dear Hans, | বাংলা সহায়তা: “প্রিয়” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",4,active,very common,adjective/adverb/other
German for: favourite (প্রিয়),Lieblings- | plural: — | IPA: lˈiːblɪŋs | Mein Lieblingsfilm ist „Schwarze Augen“. | My favourite film is “Dark Eyes”. | বাংলা সহায়তা: “প্রিয়” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,noun/phrase
German for: song (গান); include article and plural,Lied | plural: -er | IPA: das lˈiːt | Welches ist dein Lieblingslied? | Which is your favourite song? | বাংলা সহায়তা: “গান” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,common,noun
German for: HGV (ভারী পণ্যবাহী যান); include article and plural,Lkw | plural: -s | IPA: dɛɾ ˌɛlkˌɑːvˈeː | Dieser Lastkraftwagen ist sehr groß. | That heavy goods vehicle is very large. | বাংলা সহায়তা: “ভারী পণ্যবাহী যান” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,common,noun
German for: pub (পানশালা); include article and plural,Lokal | plural: — | IPA: das loːkˈɑːl | In unserer Straße gibt es ein neues Lokal. | There is a new pub on our street. | বাংলা সহায়তা: “পানশালা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,common,noun
German for: solution (সমাধান); include article and plural,Lösung | plural: -en | IPA: diː lˈøːzʊŋ | Die Lösung ist ganz einfach. | The solution is quite simple. | বাংলা সহায়তা: “সমাধান” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,common,noun
German for: funny (মজার),lustig | plural: — | IPA: lˈʊstɪç | Frau Mertens ist lustig. Sie lacht immer. | Ms Mertens is funny. She is always laughing. | বাংলা সহায়তা: “মজার” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,common,adjective/adverb/other
German for: … (প্রাসঙ্গিক বাক্যাংশ),machen | plural: — | IPA: mˈaxən | Das macht nichts. | It doesn't matter. | বাংলা সহায়তা: “প্রাসঙ্গিক বাক্যাংশ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,common,adjective/adverb/other
German for: girl (বালিকা); include article and plural,Mädchen | plural: – | IPA: das mˈɛːdçən | Familie Kurz bekommt ein Baby. / Junge oder Mädchen? | The Kurz family are expecting a new baby. / Boy or girl? | বাংলা সহায়তা: “বালিকা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,recognition,common,noun
German for: one / impersonal ‘you’ (এক),man | plural: — | IPA: mˈan | Hier darf man nicht rauchen. | You may not smoke here. | বাংলা সহায়তা: “এক” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,recognition,common,adjective/adverb/other
German for: man / husband (লোক); include article and plural,"Mann | plural: -ä, er | IPA: dɛɾ mˈan | Mein Mann arbeitet bei der Polizei. | My husband works for the police. | বাংলা সহায়তা: “লোক” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",4,recognition,common,noun
German for: male (পুরুষ),männlich | plural: — | IPA: mˈɛnlɪç | Kreuzen Sie bitte an: „weiblich“ oder „männlich“. | Please tick “female” or “male”. | বাংলা সহায়তা: “পুরুষ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,recognition,common,adjective/adverb/other
German for: machine (মেশিন); include article and plural,Maschine | plural: -n | IPA: diː mˈaʃɪnə | Die Waschmaschine ist günstig. | The washing machine is cheap. | বাংলা সহায়তা: “মেশিন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,recognition,common,noun
German for: sea (সমুদ্র); include article and plural,Meer | plural: — | IPA: das mˈeːɾ | Wir machen Urlaub am Meer. | We are holidaying by the sea. | বাংলা সহায়তা: “সমুদ্র” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,recognition,common,noun
