Front,Back,Week,Status,Frequency,PartOfSpeech
German for: on (উপর বা চালু),auf | plural: — | IPA: ˈaʊf | Die Kinder spielen auf der Straße. | The children play on the street. | বাংলা সহায়তা: “উপর বা চালু” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,preposition
German for: because (কারণ),"denn | plural: — | IPA: dˈɛn | Ich kann nicht kommen, denn ich bin krank. | I can’t come because I’m ill. | বাংলা সহায়তা: “কারণ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",1,active,very common,conjunction
German for: colour (রং); include article and plural,Farbe | plural: -n | IPA: diː fˈaɾbə | Die Farbe gefällt mir gut. | I like the colour. | বাংলা সহায়তা: “রং” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,noun
German for: form (আকার); include article and plural,Formular | plural: -e | IPA: das fˌɔɾmuːlˈɑːɾ | Sie müssen dieses Formular ausfüllen. | You must fill out this form. | বাংলা সহায়তা: “আকার” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,noun
German for: for (জন্য),für | plural: — | IPA: fˈyːɾ | Das ist für Sie. | That's for you. | বাংলা সহায়তা: “জন্য” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,preposition
German for: for (জন্য),für | plural: — | IPA: fˈyːɾ | Das ist der Schlüssel für die Haustür. | That's the key for the front door. | বাংলা সহায়তা: “জন্য” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,preposition
German for: for (জন্য),für | plural: — | IPA: fˈyːɾ | Das ist das Brot für morgen. | That's the bread for tomorrow. | বাংলা সহায়তা: “জন্য” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,preposition
German for: hello (শুনুন),hallo | plural: — | IPA: hˈaloː | Hallo Inge! Wie geht’s? | Hello Inge! How’s it going? | বাংলা সহায়তা: “শুনুন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,adjective/adverb/other
German for: in (মধ্যে বা -এ),in | plural: — | IPA: ˈɪn | Ich wohne in Wiesbaden. | I live in Wiesbaden. | বাংলা সহায়তা: “মধ্যে বা -এ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,preposition
German for: in (মধ্যে বা -এ),in | plural: — | IPA: ˈɪn | Der Zug kommt in fünf Minuten. | The train comes in five minutes. | বাংলা সহায়তা: “মধ্যে বা -এ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,preposition
German for: in (মধ্যে বা -এ),in | plural: — | IPA: ˈɪn | Frau Rausch arbeitet in einem Geschäft. | Ms Rausch works in a shop. | বাংলা সহায়তা: “মধ্যে বা -এ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,preposition
German for: to (প্রতি),"in | plural: — | IPA: ˈɪn | Komm, wir gehen ins Kino. | Come on, we’re going to the cinema. | বাংলা সহায়তা: “প্রতি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",1,active,very common,preposition
German for: country (দেশ); include article and plural,"Land | plural: -ä, er | IPA: das lˈant | Italien ist ein schönes Land. | Italy is a beautiful country. | বাংলা সহায়তা: “দেশ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",1,active,very common,noun
German for: with (সঙ্গে),mit | plural: — | IPA: mˈɪt | Trinken Sie den Kaffee mit Milch? | Do you take milk with your coffee? | বাংলা সহায়তা: “সঙ্গে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,preposition
German for: name (নাম); include article and plural,Name | plural: -n | IPA: dɛɾ nˈɑːmə | Mein Name ist Thomas Schmidt. | My name is Thomas Schmidt. | বাংলা সহায়তা: “নাম” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,noun
German for: name (নাম); include article and plural,"Name | plural: -n | IPA: dɛɾ nˈɑːmə | Mein Vorname ist Thomas, Schmidt ist der Familienname. | My first name is Thomas, Schmidt is the surname. | বাংলা সহায়তা: “নাম” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",1,active,very common,noun
German for: number (নম্বর); include article and plural,Nummer | plural: -n | IPA: diː nˈʊmɜ | Welche Hausnummer haben Sie? | Which house number is yours? | বাংলা সহায়তা: “নম্বর” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,noun
German for: number (নম্বর); include article and plural,Nummer | plural: -n | IPA: diː nˈʊmɜ | Können Sie mir Ihre Nummer geben? | Can you give me your number? | বাংলা সহায়তা: “নম্বর” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,noun
German for: or (অথবা),oder | plural: — | IPA: ˈoːdɜ | Wann können Sie kommen – heute oder morgen? | When can you come – today or tomorrow? | বাংলা সহায়তা: “অথবা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,conjunction
German for: language (ভাষা); include article and plural,Sprache | plural: -n | IPA: diː ʃpɾˈɑːxə | Welche Sprachen sprichst du? | Which languages do you speak? | বাংলা সহায়তা: “ভাষা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,noun
German for: at (-এ বা কাছে),um | plural: — | IPA: ˈʊm | Er kommt um sieben Uhr. | He is coming at seven o’clock. | বাংলা সহায়তা: “-এ বা কাছে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,preposition
German for: and (এবং),und | plural: — | IPA: ˈʊnt | Peter und Helmut sind meine Söhne. | Peter and Helmut are my sons. | বাংলা সহায়তা: “এবং” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,conjunction
German for: from (থেকে),von | plural: — | IPA: fˈɔn | Er kommt gerade von Köln/von zu Hause. | He’s coming from Cologne/home now. | বাংলা সহায়তা: “থেকে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,preposition
German for: first name (প্রথম নাম); include article and plural,"Vorname | plural: -n | IPA: dɛɾ fˈɔɾnɑːmə | Ich heiße Müller, mein Vorname ist Eva. | I’m called Müller, my first name is Eva. | বাংলা সহায়তা: “প্রথম নাম” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",1,active,very common,noun
German for: what kind of (কি ধরন),was für ein | plural: — | IPA: vˈas fyːɾ ˈaɪn | Was für eine Farbe möchten Sie? | What colour would you like? | বাংলা সহায়তা: “কি ধরন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,phrase
German for: how much (কেমন অধিক),wie viel | plural: — | IPA: viː fˈiːl | Wie viel Milch nehmen Sie? | How much milk do you take? | বাংলা সহায়তা: “কেমন অধিক” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,phrase
German for: to (প্রতি),zu | plural: — | IPA: tsˈuː | Der Bus fährt zum Bahnhof. | The bus goes to the station. | বাংলা সহায়তা: “প্রতি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,preposition
German for: at (-এ বা কাছে),zu | plural: — | IPA: tsˈuː | Ich bin zu Hause. | I am at home. | বাংলা সহায়তা: “-এ বা কাছে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,preposition
German for: number (নম্বর); include article and plural,Nummer | plural: -n | IPA: diː nˈʊmɜ | Sie haben Zimmer Nummer zwölf. | You have room number twelve. | বাংলা সহায়তা: “নম্বর” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,noun
German for: good morning (সুপ্রভাত),Guten Morgen | plural: — | IPA: ɡˈuːtən mˈɔɾɡən | Wir benutzen heute „Guten Morgen“. | Today we use “good morning”. | আজ আমরা “সুপ্রভাত” অর্থটি ব্যবহার করি।,1,active,very common,phrase
German for: good day (শুভ দিন),Guten Tag | plural: — | IPA: ɡˈuːtən tˈɑːk | Wir benutzen heute „Guten Tag“. | Today we use “good day”. | আজ আমরা “শুভ দিন” অর্থটি ব্যবহার করি।,1,active,very common,phrase
German for: good evening (শুভ সন্ধ্যা),Guten Abend | plural: — | IPA: ɡˈuːtən ˈɑːbənt | Wir benutzen heute „Guten Abend“. | Today we use “good evening”. | আজ আমরা “শুভ সন্ধ্যা” অর্থটি ব্যবহার করি।,1,active,very common,phrase
German for: good night (শুভ রাত্রি),Gute Nacht | plural: — | IPA: ɡˈuːtə nˈaxt | Wir benutzen heute „Gute Nacht“. | Today we use “good night”. | আজ আমরা “শুভ রাত্রি” অর্থটি ব্যবহার করি।,1,active,very common,phrase
German for: hello (হ্যালো),Hallo | plural: — | IPA: hˈaloː | Wir benutzen heute „Hallo“. | Today we use “hello”. | আজ আমরা “হ্যালো” অর্থটি ব্যবহার করি।,1,active,very common,phrase
German for: bye (বিদায়),Tschüss | plural: — | IPA: tʃˈʏs | Wir benutzen heute „Tschüss“. | Today we use “bye”. | আজ আমরা “বিদায়” অর্থটি ব্যবহার করি।,1,active,very common,phrase
German for: goodbye (আবার দেখা হবে),Auf Wiedersehen | plural: — | IPA: aʊf viːdɜzˈeːən | Wir benutzen heute „Auf Wiedersehen“. | Today we use “goodbye”. | আজ আমরা “আবার দেখা হবে” অর্থটি ব্যবহার করি।,1,active,very common,phrase
German for: how are you (তুমি কেমন আছ),Wie geht es dir? | plural: — | IPA: viː ɡˈeːt ɛs dˈiːɾ | Wir benutzen heute „Wie geht es dir?“. | Today we use “how are you”. | আজ আমরা “তুমি কেমন আছ” অর্থটি ব্যবহার করি।,1,active,very common,phrase
"German for: fine, thank you (ভালো, ধন্যবাদ)","Danke, gut. | plural: — | IPA: dˈaŋkə ɡˈuːt | Wir benutzen heute „Danke, gut.“. | Today we use “fine, thank you”. | আজ আমরা “ভালো, ধন্যবাদ” অর্থটি ব্যবহার করি।",1,active,very common,phrase
German for: excuse me (মাফ করবেন),Entschuldigung | plural: — | IPA: ɛntʃˈʊldɪɡˌʊŋ | Wir benutzen heute „Entschuldigung“. | Today we use “excuse me”. | আজ আমরা “মাফ করবেন” অর্থটি ব্যবহার করি।,1,active,very common,phrase
German for: please (অনুগ্রহ করে),bitte | plural: — | IPA: bˈɪtə | Wir benutzen heute „bitte“. | Today we use “please”. | আজ আমরা “অনুগ্রহ করে” অর্থটি ব্যবহার করি।,1,active,very common,adverb
German for: thank you (ধন্যবাদ),danke | plural: — | IPA: dˈaŋkə | Wir benutzen heute „danke“. | Today we use “thank you”. | আজ আমরা “ধন্যবাদ” অর্থটি ব্যবহার করি।,1,active,very common,adverb
German for: Bengali language (বাংলা ভাষা); include article and plural,Bengalisch | plural: — | IPA: bɛŋˈɑlɪʃ | Wir benutzen heute „Bengalisch“. | Today we use “Bengali language”. | আজ আমরা “বাংলা ভাষা” অর্থটি ব্যবহার করি।,1,active,very common,noun
German for: English language (ইংরেজি ভাষা); include article and plural,Englisch | plural: — | IPA: ˈɛŋlɪʃ | Wir benutzen heute „Englisch“. | Today we use “English language”. | আজ আমরা “ইংরেজি ভাষা” অর্থটি ব্যবহার করি।,1,active,very common,noun
German for: German language (জার্মান ভাষা); include article and plural,Deutsch | plural: — | IPA: dˈɔøtʃ | Wir benutzen heute „Deutsch“. | Today we use “German language”. | আজ আমরা “জার্মান ভাষা” অর্থটি ব্যবহার করি।,1,active,very common,noun
German for: Bangladesh (বাংলাদেশ),Bangladesch | plural: — | IPA: bˈaŋladˌɛʃ | Wir benutzen heute „Bangladesch“. | Today we use “Bangladesh”. | আজ আমরা “বাংলাদেশ” অর্থটি ব্যবহার করি।,1,active,very common,proper noun
German for: Germany (জার্মানি),Deutschland | plural: — | IPA: dˈɔøtʃlant | Wir benutzen heute „Deutschland“. | Today we use “Germany”. | আজ আমরা “জার্মানি” অর্থটি ব্যবহার করি।,1,active,very common,proper noun
German for: Turkey (তুরস্ক); include article and plural,die Türkei | plural: - | IPA: diː tʏɾkˈaɪ | Wir benutzen heute „die Türkei“. | Today we use “Turkey”. | আজ আমরা “তুরস্ক” অর্থটি ব্যবহার করি।,1,active,very common,noun
German for: email (ইমেইল); include article and plural,E-Mail | plural: -s | IPA: diː ˈeː(en)mˈeɪl(de) | Das ist die E-Mail. | This is the email. | এটি ইমেইল।,1,active,very common,noun
German for: first name (নামের প্রথম অংশ); include article and plural,Vorname | plural: -n | IPA: dɛɾ fˈɔɾnɑːmə | Das ist der Vorname. | This is the first name. | এটি নামের প্রথম অংশ।,1,active,very common,noun
German for: surname (পদবি); include article and plural,Nachname | plural: -n | IPA: dɛɾ nˈaxnɑːmə | Das ist der Nachname. | This is the surname. | এটি পদবি।,1,active,very common,noun
German for: nationality (জাতীয়তা); include article and plural,Nationalität | plural: -en | IPA: diː nˌatsɪˌoːnˈɑːliːtˈɛːt | Das ist die Nationalität. | This is the nationality. | এটি জাতীয়তা।,1,active,very common,noun
German for: native language (মাতৃভাষা); include article and plural,Muttersprache | plural: -n | IPA: diː mˈʊtɜʃpɾˌɑːxə | Das ist die Muttersprache. | This is the native language. | এটি মাতৃভাষা।,1,active,very common,noun
German for: bank holiday (সরকারি ছুটি); include article and plural,Feiertag | plural: — | IPA: dɛɾ fˈaɪɜtˌɑːk | Am Montag ist Feiertag. | Monday is a bank holiday. | বাংলা সহায়তা: “সরকারি ছুটি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,noun
German for: mistake (ভূল); include article and plural,Fehler | plural: – | IPA: dɛɾ fˈeːlɜ | Diesen Fehler mache ich immer. | I always make this mistake. | বাংলা সহায়তা: “ভূল” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,noun
German for: fire / lighter (আগুন); include article and plural,Feuer | plural: — | IPA: das fˈɔøɜ | Haben Sie Feuer? | Do you have a light? | বাংলা সহায়তা: “আগুন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,noun
German for: fever (জ্বর); include article and plural,Fieber | plural: — | IPA: das fˈiːbɜ | Mein Mann hat noch immer Fieber. | My husband still has a fever. | বাংলা সহায়তা: “জ্বর” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,noun
German for: film (ছায়াছবি); include article and plural,Film | plural: -e | IPA: dɛɾ fˈɪlm | Ich möchte gern diesen Film sehen. | I would like to see this film. | বাংলা সহায়তা: “ছায়াছবি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,noun
German for: company (কোম্পানি); include article and plural,Firma | plural: — | IPA: diː fˈɪɾmɑː | Er arbeitet jetzt bei einer anderen Firma. | He works for another company now. | বাংলা সহায়তা: “কোম্পানি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,noun
German for: fish (মাছ); include article and plural,Fisch | plural: -e | IPA: dɛɾ fˈɪʃ | Ich esse gern Fisch. Fleisch mag ich nicht. | I like to eat fish. I don’t like meat. | বাংলা সহায়তা: “মাছ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,noun
German for: bottle (বোতল); include article and plural,"Flasche | plural: -n | IPA: diː flˈaʃə | Eine Flasche Bier, bitte. | A bottle of beer, please. | বাংলা সহায়তা: “বোতল” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",1,active,very common,noun
German for: (flight) departure (বহির্গমন); include article and plural,Abflug | plural: — | IPA: dɛɾ ˈapflˌuːk | Der Abflug ist um 11.20 Uhr. | Departure is at 11:20 am. | বাংলা সহায়তা: “বহির্গমন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,noun
German for: aeroplane (বিমান); include article and plural,Flugzeug | plural: — | IPA: das flˈuːɡtsɔøk | Das Flugzeug aus Berlin kommt heute später an. | The plane from Berlin will arrive later today. | বাংলা সহায়তা: “বিমান” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,noun
German for: photograph (আলোকচিত্র); include article and plural,Foto | plural: -s | IPA: das fˈoːtoː | Darf ich ein Foto machen? | May I take a photo? | বাংলা সহায়তা: “আলোকচিত্র” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,noun
German for: Ms (মিলিসেকেন্ড); include article and plural,Frau | plural: — | IPA: diː frˈaʊ | Das ist Frau Becker. | That is Ms Becker. | বাংলা সহায়তা: “মিলিসেকেন্ড” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,noun
German for: woman (নারী); include article and plural,Frau | plural: — | IPA: diː frˈaʊ | Die Frau da drüben ist Eva Schmitt. | The woman over there is Eva Schmitt. | বাংলা সহায়তা: “নারী” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,noun
German for: women (মহিলা); include article and plural,Frauen | plural: — | IPA: diː frˈaʊən | Hier arbeiten mehr Frauen als Männer. | More women work here than men. | বাংলা সহায়তা: “মহিলা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,noun
German for: friend (বন্ধু); include article and plural,Freund | plural: -e | IPA: dɛɾ frˈɔønt | Das ist ein Freund von mir. | That is a friend of mine. | বাংলা সহায়তা: “বন্ধু” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,noun
German for: friend / girlfriend (বন্ধু); include article and plural,Freundin | plural: — | IPA: diː frˈɔøndɪn | Das ist meine Freundin. | That is my friend/girlfriend. | বাংলা সহায়তা: “বন্ধু” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,noun
German for: breakfast (নাশতা); include article and plural,Frühstück | plural: — | IPA: das frˈyːʃtʏk | Möchtest du ein Ei zum Frühstück? | Would you like an egg for breakfast? | বাংলা সহায়তা: “নাশতা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,noun
German for: tour (ভ্রমণ); include article and plural,Führung | plural: — | IPA: diː fˈyːrʊŋ | Die Führung durch das Haus beginnt in 3 Minuten. | The tour of the house begins in 3 minutes. | বাংলা সহায়তা: “ভ্রমণ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,noun
German for: foot (হাঁটা); include article and plural,"Fuß | plural: -ü, e | IPA: dɛɾ fˈuːs | Der linke Fuß tut mir weh. | My left foot hurts. | বাংলা সহায়তা: “হাঁটা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",1,active,very common,noun
German for: football (ফুটবল); include article and plural,Fußball | plural: — | IPA: dɛɾ fˈʊsbal | Spielt ihr gerne Fußball? | Do you like playing football? | বাংলা সহায়তা: “ফুটবল” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,noun
German for: garden (উদ্দ্যান); include article and plural,Garten | plural: — | IPA: dɛɾ ɡˈaɾtən | Wir haben leider keinen Garten. | Unfortunately we don't have a garden. | বাংলা সহায়তা: “উদ্দ্যান” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,noun
German for: guest (অতিথী); include article and plural,"Gast | plural: -ä, e | IPA: dɛɾ ɡˈast | Am Wochenende haben wir mehrere Gäste. | At the weekend we have several guests. | বাংলা সহায়তা: “অতিথী” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",1,active,very common,noun
German for: birth year (জন্মসাল); include article and plural,"Geburtsjahr | plural: — | IPA: das ɡəbˈʊɐtsjɑːɾ | Das Geburtsjahr Ihres Sohnes, bitte? | Your son's year of birth, please? | বাংলা সহায়তা: “জন্মসাল” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",1,active,common,noun
German for: birthplace (জন্মস্থান); include article and plural,Geburtsort | plural: — | IPA: dɛɾ ɡəbˈʊɐtsɔɾt | Bitte schreiben Sie Ihren Geburtsort auf das Formular. | Please write your birthplace on the form. | বাংলা সহায়তা: “জন্মস্থান” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,common,noun
German for: birthday (জন্মদিন); include article and plural,Geburtstag | plural: — | IPA: dɛɾ ɡəbˈʊɐtstɑːk | Herzlichen Glückwunsch zum Geburtstag! | Best wishes on your birthday! | বাংলা সহায়তা: “জন্মদিন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,common,noun
German for: money (অর্থ); include article and plural,Geld | plural: — | IPA: das ɡˈɛlt | Hast du noch Geld? | Do you still have money? | বাংলা সহায়তা: “অর্থ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,common,noun
German for: luggage (লাগেজ); include article and plural,Gepäck | plural: — | IPA: das ɡəpˈɛk | Wollen Sie Ihr Gepäck mitnehmen? | Do you want to take your luggage with you? | বাংলা সহায়তা: “লাগেজ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,common,noun
German for: present (বর্তমান); include article and plural,Geschenk | plural: -e | IPA: das ɡəʃˈɛŋk | Danke für das schöne Geschenk. | Thank you for the beautiful present. | বাংলা সহায়তা: “বর্তমান” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,common,noun
German for: siblings (ভাইবোন); include article and plural,Geschwister (pl.) | plural: — | IPA: diː ɡəʃvˈɪstɜ | Ich habe leider keine Geschwister. | Unfortunately I have no siblings. | বাংলা সহায়তা: “ভাইবোন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,recognition,common,noun
German for: conversation/talk/call (কথোপকথন); include article and plural,Gespräch | plural: -e | IPA: das ɡəʃpɾˈɛç | Das Gespräch mit Frau Kunz ist um 14 Uhr. | The conversation with Ms Kunz is at 2 pm. | বাংলা সহায়তা: “কথোপকথন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,recognition,common,noun
German for: weight (ওজন); include article and plural,"Gewicht | plural: — | IPA: das ɡəvˈɪçt | Bei „Gewicht“ schreibst du: 62 Kilo. | For “weight”, write 62 kg. | বাংলা সহায়তা: “ওজন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",1,recognition,common,noun
German for: glass (কাঁচ); include article and plural,"Glas | plural: -ä, er | IPA: das ɡlˈɑːs | Bitte noch ein Glas Wein! | Another glass of wine, please! | বাংলা সহায়তা: “কাঁচ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",1,recognition,common,noun
German for: glasses (চশমা); include article and plural,"Glas | plural: -ä, er | IPA: das ɡlˈɑːs | Wir brauchen noch drei Gläser. | We need three more glasses. | বাংলা সহায়তা: “চশমা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",1,recognition,common,noun
German for: luck (ভাগ্য); include article and plural,Glück | plural: — | IPA: das ɡlˈʏk | Viel Glück! | Good luck! | বাংলা সহায়তা: “ভাগ্য” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,recognition,common,noun
German for: congratulations (অভিনন্দন); include article and plural,Glückwunsch | plural: — | IPA: dɛɾ ɡlˈʏkvʊnʃ | Herzlichen Glückwunsch zum Geburtstag. | Best wishes on your birthday! | বাংলা সহায়তা: “অভিনন্দন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,recognition,common,noun
German for: degrees (ডিগ্রি),Grad (Celsius) | plural: — | IPA: ɡɾˈɑːt | Heute haben wir dreißig Grad. | Today it is thirty degrees. | বাংলা সহায়তা: “ডিগ্রি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,recognition,common,noun/phrase
German for: grandparents (দাদা-দাদি বা নানা-নানি); include article and plural,Großeltern (pl.) | plural: — | IPA: diː ɡɾˈoːsɛltɜn | Meine Großeltern leben in Japan. | My grandparents live in Japan. | বাংলা সহায়তা: “দাদা-দাদি বা নানা-নানি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,recognition,common,noun
German for: grandmother (দাদি বা নানি); include article and plural,Großmutter | plural: — | IPA: diː ɡɾˈɔsmʊtɜ | Meine Großmutter heißt Eva. | My grandmother is called Eva. | বাংলা সহায়তা: “দাদি বা নানি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,recognition,common,noun
German for: grandfather (দাদা বা নানা); include article and plural,Großvater | plural: — | IPA: dɛɾ ɡɾˈɔsfɑːtɜ | Mein Großvater ist schon 80. | My grandfather is already 80. | বাংলা সহায়তা: “দাদা বা নানা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,recognition,common,noun
German for: group (শ্রেণী); include article and plural,Gruppe | plural: -n | IPA: diː ɡɾˈʊpə | Die erste Gruppe beginnt um 16 Uhr. | The first group begins at 4 pm. | বাংলা সহায়তা: “শ্রেণী” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,recognition,common,noun
German for: regards (শুভেচ্ছা); include article and plural,"Gruß | plural: -ü, e | IPA: dɛɾ ɡɾˈuːs | Viele Grüße an Ihre Frau. | Give my regards to your wife. | বাংলা সহায়তা: “শুভেচ্ছা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",1,recognition,common,noun
German for: regards (শুভেচ্ছা); include article and plural,"Gruß | plural: -ü, e | IPA: dɛɾ ɡɾˈuːs | Mit freundlichen Grüßen | Kind regards. | বাংলা সহায়তা: “শুভেচ্ছা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",1,recognition,common,noun
