Front,Back,Week,Status,Frequency,PartOfSpeech
German for: to answer (উত্তর),antworten | plural: — | IPA: ˈantvɔɾtən | Er antwortet nicht. | He isn’t answering. | বাংলা সহায়তা: “উত্তর” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,very common,verb
German for: … (প্রাসঙ্গিক বাক্যাংশ),wie | plural: — | IPA: vˈiː | Wie bitte? | Pardon? | বাংলা সহায়তা: “প্রাসঙ্গিক বাক্যাংশ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,very common,adjective/adverb/other
German for: how (কেমন),wie | plural: — | IPA: vˈiː | Wie lange bist du schon hier? | How long have you been here already? | বাংলা সহায়তা: “কেমন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,very common,adjective/adverb/other
German for: … (প্রাসঙ্গিক বাক্যাংশ); include article and plural,Wiederhören | plural: — | IPA: das viːdɜhˈøːrən | Auf Wiederhören! | Goodbye! | বিদায়!,8,active,very common,noun
German for: … (প্রাসঙ্গিক বাক্যাংশ); include article and plural,Wiedersehen | plural: — | IPA: das viːdɜzˈeːən | Auf Wiedersehen! | Goodbye! | বিদায়!,8,active,very common,noun
German for: … (প্রাসঙ্গিক বাক্যাংশ),willkommen | plural: — | IPA: vˈɪlkɔmən | Herzlich willkommen! | Welcome! | বাংলা সহায়তা: “প্রাসঙ্গিক বাক্যাংশ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,very common,adjective/adverb/other
German for: we (আমরা),wir | plural: — | IPA: vˈiːɾ | Wir lernen Deutsch. | We are learning German. | বাংলা সহায়তা: “আমরা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,very common,adjective/adverb/other
German for: to know (জানা),"wissen | plural: — | IPA: vˈɪsən | Weißt du, wie er heißt? | Do you know what he is called? | বাংলা সহায়তা: “জানা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",8,active,very common,verb
German for: where (কোথায়),wo | plural: — | IPA: vˈoː | Wo waren Sie im Urlaub? | Where were you on holiday? | বাংলা সহায়তা: “কোথায়” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,very common,adjective/adverb/other
German for: where (কোথায়),wo | plural: — | IPA: vˈoː | Wo ist die Post? | Where is the post office? | বাংলা সহায়তা: “কোথায়” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,common,adjective/adverb/other
German for: where (কোথায়),wo | plural: — | IPA: vˈoː | Wo sind Sie geboren? | Where were you born? | বাংলা সহায়তা: “কোথায়” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,common,adjective/adverb/other
German for: from where (থেকে কোথায়),woher | plural: — | IPA: voːhˈeːɾ | Woher kommen Sie? | Where do you come from? | বাংলা সহায়তা: “থেকে কোথায়” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,common,adjective/adverb/other
German for: to where (কোথায়),wohin | plural: — | IPA: voːhˈiːn | Wohin fährt dieser Bus? | Where does this bus go? | বাংলা সহায়তা: “কোথায়” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,common,verb
German for: to where (কোথায়),wohin | plural: — | IPA: voːhˈiːn | Wohin wollen Sie am Wochenende? | Where do you want to go this weekend? | বাংলা সহায়তা: “কোথায়” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,recognition,common,verb
German for: to live (বসবাস করা),wohnen | plural: — | IPA: vˈoːnən | Ich wohne in München. | I live in Munich. | বাংলা সহায়তা: “বসবাস করা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,recognition,common,verb
German for: flat (চ্যাপ্টা); include article and plural,Wohnung | plural: -en | IPA: diː vˈoːnʊŋ | Seit wann haben Sie diese Wohnung? | How long have you had this flat? | বাংলা সহায়তা: “চ্যাপ্টা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,recognition,common,noun
German for: to want (চাওয়া),wollen | plural: — | IPA: vˈɔlən | Wollen Sie einen Kaffee trinken? | Do you want to get a coffee? | বাংলা সহায়তা: “চাওয়া” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,recognition,common,verb
German for: word (শব্দ); include article and plural,"Wort | plural: -ö, er/-e | IPA: das vˈɔɾt | Ich kenne das Wort nicht. | I don’t know that word. | বাংলা সহায়তা: “শব্দ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",8,recognition,common,noun
German for: wonderful (চমৎকার),wunderbar | plural: — | IPA: vˈʊndɜbˌɑːɾ | Das Essen schmeckt wunderbar. | The food tastes wonderful. | বাংলা সহায়তা: “চমৎকার” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,recognition,common,adjective/adverb/other
German for: at the moment (-এ বা কাছে মূহুর্ত),zurzeit | plural: — | IPA: tsuːɾtsˈaɪt | Zurzeit habe ich sehr viel zu tun. | I have a lot to do at the moment. | বাংলা সহায়তা: “-এ বা কাছে মূহুর্ত” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,recognition,common,adjective/adverb/other
German for: newspaper (সংবাদপত্র); include article and plural,Zeitung | plural: -en | IPA: diː tsˈaɪtˌʊŋ | Ich lese gern Zeitung. | I like to read the newspaper. | বাংলা সহায়তা: “সংবাদপত্র” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,recognition,common,noun
German for: cigarette (সিগারেট); include article and plural,Zigarette | plural: -n | IPA: diː tsˈiːɡarˌɛtə | Wie teuer sind die Zigaretten? | How expensive are the cigarettes? | বাংলা সহায়তা: “সিগারেট” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,recognition,common,noun
German for: customs (রীতিনীতি); include article and plural,Zoll | plural: — | IPA: dɛɾ tsˈɔl | Wir müssen noch durch den Zoll. | We still need to go through customs. | বাংলা সহায়তা: “রীতিনীতি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,recognition,common,noun
German for: by (দ্বারা),zu | plural: — | IPA: tsˈuː | Ich gehe zu Fuß. | I will go by foot. | বাংলা সহায়তা: “দ্বারা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,recognition,common,adjective/adverb/other
German for: happy (সুখী),zufrieden | plural: — | IPA: tsuːfrˈiːdən | Ich bin mit der Wohnung zufrieden. | I am happy with the flat. | বাংলা সহায়তা: “সুখী” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,recognition,common,adjective/adverb/other
German for: return (ফেরত),zurück | plural: — | IPA: tsuːrˈʏk | Einmal Frankfurt und zurück. | A return (ticket) to Frankfurt. | বাংলা সহায়তা: “ফেরত” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,recognition,common,adjective/adverb/other
German for: back (পিছন),zurück | plural: — | IPA: tsuːrˈʏk | Wann kommst du zurück? | When are you coming back? | বাংলা সহায়তা: “পিছন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,recognition,common,adjective/adverb/other
German for: together (একত্রে),zusammen | plural: — | IPA: tsuːzˈamən | Sollen wir zusammen essen gehen? | Should we go out to eat together? | বাংলা সহায়তা: “একত্রে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,recognition,common,adjective/adverb/other
German for: together (একত্রে),zusammen | plural: — | IPA: tsuːzˈamən | Das macht zusammen 2 Euro 80. | Together that comes to 2 euros 80. | বাংলা সহায়তা: “একত্রে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,recognition,common,adjective/adverb/other
German for: between (মধ্যে),zwischen | plural: — | IPA: tsvˈɪʃən | Heidelberg liegt zwischen Frankfurt und Stuttgart. | Heidelberg is located between Frankfurt and Stuttgart. | বাংলা সহায়তা: “মধ্যে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,recognition,common,adjective/adverb/other
German for: between (মধ্যে),zwischen | plural: — | IPA: tsvˈɪʃən | Zwischen 8 und 10 Uhr bin ich zu Hause. | I’m at home between 8 and 10 o’clock. | বাংলা সহায়তা: “মধ্যে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,recognition,common,adjective/adverb/other
German for: to wash (ধোওয়া),(sich) waschen | plural: — | IPA: vˈaʃən | Ich wasche mich morgens. | I wash in the morning. | বাংলা সহায়তা: “ধোওয়া” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,recognition,common,verb
