Front,Back,Week,Status,Frequency,PartOfSpeech
German for: the speaker,der Sprecher | plural: — | IPA: /ˈʃpʁɛçɐ/ | Der Sprecher redet langsam. | The speaker talks slowly.,12,active,common,noun
German for: the context,der Zusammenhang | plural: — | IPA: /tsuˈzamənˌhaŋ/ | Verstehen Sie den Zusammenhang. | Understand the context.,12,active,common,noun
German for: to skim read,skimmen | plural: — | IPA: /ˈskɪmən/ | Skimmen Sie zuerst den Text. | Skim the text first.,12,active,common,verb
German for: the form,das Formular | plural: — | IPA: /fɔʁmuˈlaːɐ/ | Füllen Sie 5 Punkte im Formular aus. | Fill out 5 points in the form.,12,active,common,noun
German for: contact form,das Kontaktformular | plural: — | IPA: /kɔnˈtakt_fɔʁmulaːɐ/ | Tragen Sie Name und Adresse ein. | Enter name and address.,12,active,common,noun
German for: subject line,der Betreff | plural: — | IPA: /bəˈtʁɛf/ | Der Betreff: Anmeldung zum Kurs. | Subject: Course registration.,12,active,common,noun
German for: the message / note,die Nachricht | plural: — | IPA: /ˈnaːxˌʁɪçt/ | Schreiben Sie eine kurze Nachricht. | Write a short message.,12,active,common,noun
German for: the enquiry / request,die Anfrage | plural: — | IPA: /ˈanˌfʁaːɡə/ | Eine Anfrage für ein Zimmer. | An enquiry for a room.,12,active,common,noun
German for: to answer / reply,beantworten | plural: — | IPA: /bəˈʔantˌvɔʁtən/ | Beantworten Sie alle 3 Punkte. | Answer all 3 points.,12,active,common,verb
German for: to enter / fill in data,eintragen | plural: — | IPA: /ˈaɪnˌtʁaːɡən/ | Tragen Sie Ihr Geburtsdatum ein. | Enter your date of birth.,12,active,common,verb
German for: the date,das Datum | plural: — | IPA: /ˈdaːtʊm/ | Was ist das Datum heute? | What is the date today?,12,active,common,noun
German for: to introduce oneself,sich vorstellen | plural: — | IPA: /zɪç ˈfoːɐ̯ˌʃtɛlən/ | Stellen Sie sich bitte vor. | Please introduce yourself.,12,active,common,verb
German for: the point / topic card,der Punkt | plural: — | IPA: /pʊŋkt/ | Wählen Sie einen Punkt. | Choose a point.,12,active,common,noun
German for: the question,die Frage | plural: — | IPA: /ˈfʁaːɡə/ | Stellen Sie eine Frage. | Ask a question.,12,active,common,noun
German for: to answer,antworten | plural: — | IPA: /ˈantˌvɔʁtən/ | Antworten Sie auf die Frage. | Answer the question.,12,active,common,verb
German for: the turn / row,die Reihe | plural: — | IPA: /ˈʁaɪə/ | Sie sind an der Reihe. | It is your turn.,12,active,common,noun
German for: What does ... mean?,Was bedeutet...? | plural: — | IPA: /vas bəˈdɔʏtət/ | Was bedeutet dieses Wort? | What does this word mean?,12,active,common,phrase
German for: Can you repeat?,Können Sie wiederholen? | plural: — | IPA: /ˈkœnən ziː viːdɐˈhoːlən/ | Können Sie das bitte wiederholen? | Can you please repeat that?,12,active,common,phrase
German for: Pardon? / What was that?,Wie bitte? | plural: — | IPA: /viː ˈbɪtə/ | Wie bitte? Ich habe das nicht verstanden. | Pardon? I didn't understand that.,12,active,common,phrase
German for: the task / prompt card,die Aufgabe | plural: — | IPA: /ˈaʊfˌɡaːbə/ | Nehmen Sie eine Karte. | Take a card.,12,active,common,noun
German for: the partner,der Partner | plural: — | IPA: /ˈpaʁtnɐ/ | Fragen Sie Ihren Partner. | Ask your partner.,12,active,common,noun
German for: the topic (pl: Themen),das Thema | plural: — | IPA: /ˈteːma/ | Das Thema ist Einkaufen. | The topic is shopping.,12,active,common,noun
German for: I would like (polite request),Ich hätte gern | plural: — | IPA: /ɪç ˈhɛtə ɡɛʁn/ | Ich hätte gern einen Kaffee. | I would like a coffee.,12,active,common,phrase
German for: Do you have...?,Haben Sie...? | plural: — | IPA: /ˈhaːbən ziː/ | Haben Sie einen Stift? | Do you have a pen?,12,active,common,phrase
German for: Give me... (polite command),Geben Sie mir... | plural: — | IPA: /ˈɡeːbən ziː miːɐ̯/ | Geben Sie mir bitte die Karte. | Please give me the card.,12,active,common,phrase
German for: Here you go!,"Hier, bitte! | plural: — | IPA: /hiːɐ̯ ˈbɪtə/ | Hier, bitte sehr! | Here you go!",12,active,common,phrase
German for: of course / naturally,"natürlich | plural: — | IPA: /naˈtyːɐ̯lɪç/ | Ja, natürlich! | Yes, of course!",12,active,common,phrase
