Front,Back,Week,Status,Frequency,PartOfSpeech
German for: computer mouse (কম্পিউটার মাউস); include article and plural,Maus | plural: Mäuse | IPA: diː mˈaʊs | Das ist die Maus. | This is the computer mouse. | এটি কম্পিউটার মাউস।,2,active,very common,noun
German for: computer (কম্পিউটার); include article and plural,Computer | plural: – | IPA: dɛɾ (en)kəmpjˈuːtə(de) | Wann bekommst du deinen neuen Computer? | When are you getting your new computer? | বাংলা সহায়তা: “কম্পিউটার” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: double room (দুইজনের কক্ষ); include article and plural,Doppelzimmer | plural: — | IPA: das dˈɔpəltsˌɪmɜ | Wollen Sie ein Doppelzimmer oder ein Einzelzimmer? | Would you like a double room or a single room? | বাংলা সহায়তা: “দুইজনের কক্ষ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: single room (একজনের কক্ষ); include article and plural,Einzelzimmer | plural: — | IPA: das ˈaɪntsˌɛltsɪmɜ | Haben Sie noch ein Einzelzimmer? | Do you have another single room? | বাংলা সহায়তা: “একজনের কক্ষ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: family (পরিবার); include article and plural,Familie | plural: -n | IPA: diː famˈiːlɪə | Meine Familie lebt in Spanien. | My family lives in Spain. | বাংলা সহায়তা: “পরিবার” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: mobile telephone (মোবাইল ফোন); include article and plural,Handy | plural: -s | IPA: das hˈɛndiː | In der Schule bitte die Handys ausmachen! | Please turn off your mobile phones in school! | বাংলা সহায়তা: “মোবাইল ফোন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: house / building (আশ্রয় দেওয়া); include article and plural,"Haus | plural: -ä, er | IPA: das hˈaʊs | In welchem Haus wohnst du? | Which house do you live in? | বাংলা সহায়তা: “আশ্রয় দেওয়া” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",2,active,very common,noun
German for: job (কাজ); include article and plural,Job | plural: -s | IPA: dɛɾ (en)dʒˈɒb(de) | Jenny hat einen neuen Job bei der Post. | Jenny has a new job at the post office. | বাংলা সহায়তা: “কাজ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: child (চাইল্ড); include article and plural,Kind | plural: -er | IPA: das kˈɪnt | Wie viele Kinder haben Sie? | How many children do you have? | বাংলা সহায়তা: “চাইল্ড” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: kitchen (রান্নাঘর); include article and plural,Küche | plural: — | IPA: diː kˈʏçə | Der neue Herd kommt in die Küche. | The new stove goes in the kitchen. | বাংলা সহায়তা: “রান্নাঘর” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: teacher (শিক্ষক); include article and plural,Lehrer | plural: – | IPA: dɛɾ lˈeːrɜ | Unsere Deutschlehrerin heißt Frau Müller. | Our German teacher is called Ms Müller. | বাংলা সহায়তা: “শিক্ষক” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: mother (জননী); include article and plural,Mutter | plural: -ü | IPA: diː mˈʊtɜ | Frau Berghäuser ist die Mutter von Michaela. | Ms Berghäuser is the mother of Michaela. | বাংলা সহায়তা: “জননী” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: room (কামরা); include article and plural,"Raum | plural: -ä, e | IPA: dɛɾ rˈaʊm | Der Unterricht ist in Raum 332. | The class is in room 332. | বাংলা সহায়তা: “কামরা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",2,active,very common,noun
German for: school (বিদ্যালয়); include article and plural,Schule | plural: — | IPA: diː ʃˈuːlə | Meine Tochter geht schon in die Schule. | My daughter is already going to school. | বাংলা সহায়তা: “বিদ্যালয়” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: school (বিদ্যালয়); include article and plural,Schule | plural: — | IPA: diː ʃˈuːlə | Die Schule ist gleich hier um die Ecke. | The school is right around the corner. | বাংলা সহায়তা: “বিদ্যালয়” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: sister (বোন); include article and plural,Schwester | plural: -n | IPA: diː ʃvˈɛstɜ | Meine Schwester kommt am Dienstag. | My sister is coming on Tuesday. | বাংলা সহায়তা: “বোন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: job / position (কাজ); include article and plural,Stelle | plural: -n | IPA: diː ʃtˈɛlə | Ich habe eine neue Stelle. | I have a new job. | বাংলা সহায়তা: “কাজ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: student (ছাত্র); include article and plural,Student | plural: -en | IPA: dɛɾ ʃtuːdˈɛnt | Ich bin Studentin. | I am a student. | বাংলা সহায়তা: “ছাত্র” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: to telephone (টেলিফোন),telefonieren | plural: — | IPA: tˌeːleːfoːnˈiːrən | Darf ich mal telefonieren? | May I make a phone call? | বাংলা সহায়তা: “টেলিফোন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,verb
German for: telephone (টেলিফোন); include article and plural,Telefon | plural: — | IPA: das tˌeːleːfˈoːn | Haben Sie ein Telefon? | Do you have a telephone? | বাংলা সহায়তা: “টেলিফোন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: table (টেবিল); include article and plural,Tisch | plural: -e | IPA: dɛɾ tˈɪʃ | Die Fotos liegen auf dem Tisch. | The photos are on the table. | বাংলা সহায়তা: “টেবিল” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: father (আব্বা); include article and plural,Vater | plural: -ä | IPA: dɛɾ fˈɑːtɜ | Mein Vater ist Arbeiter. | My father is a worker. | বাংলা সহায়তা: “আব্বা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: room (কামরা); include article and plural,Zimmer | plural: – | IPA: das tsˈɪmɜ | Das Zimmer ist groß. | The room is large. | বাংলা সহায়তা: “কামরা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: room (কামরা); include article and plural,"Zimmer | plural: – | IPA: das tsˈɪmɜ | Öffne im Schlafzimmer das Fenster, bitte! | Open the window in the bedroom, please! | বাংলা সহায়তা: “কামরা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",2,active,very common,noun
German for: room (কামরা); include article and plural,Zimmer | plural: – | IPA: das tsˈɪmɜ | Die Wohnung hat drei Zimmer. | The flat has three rooms. | বাংলা সহায়তা: “কামরা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: room (কামরা); include article and plural,Zimmer | plural: – | IPA: das tsˈɪmɜ | Ich habe ein Zimmer bestellt. | I have booked a room. | বাংলা সহায়তা: “কামরা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: workplace (কর্মস্থল); include article and plural,"Arbeitsplatz | plural: -ä, e | IPA: dɛɾ ˈaɾbaɪtsplˌats | An meinem Arbeitsplatz fehlt ein Drucker. | There is no printer at my workplace. | বাংলা সহায়তা: “কর্মস্থল” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",2,active,very common,noun
German for: parents (উর্ধ্বস্থ); include article and plural,Eltern (pl.) | plural: — | IPA: diː ˈɛltɜn | Meine Eltern leben in Spanien. | My parents live in spain. | বাংলা সহায়তা: “উর্ধ্বস্থ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: family/marital status (পরিবার); include article and plural,Familienstand | plural: — | IPA: dɛɾ famˈiːlɪənstˌant | Bei „Familienstand“ musst du „ledig“ ankreuzen. | Under “family status” you have to tick “single”. | বাংলা সহায়তা: “পরিবার” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: to work/function (কাজ),"gehen | plural: — | IPA: ɡˈeːən | Ich weiß nicht, wie das geht. | I don’t know how it works./I don't know how to do that. | বাংলা সহায়তা: “কাজ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",2,active,very common,verb
German for: housewife (গৃহবধূ); include article and plural,"Hausfrau | plural: -en | IPA: diː hˈaʊsfrˌaʊ | Die Hausfrau wäscht, kocht und kauft ein. | The housewife washes, cooks, and goes shopping. | বাংলা সহায়তা: “গৃহবধূ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",2,active,very common,noun
German for: househusband (গৃহকর্তা); include article and plural,"Hausmann | plural: — | IPA: dɛɾ hˈaʊsmˌan | Der Hausmann wäscht, kocht und kauft ein. | The househusband washes, cooks, and goes shopping. | বাংলা সহায়তা: “গৃহকর্তা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",2,active,very common,noun
German for: announcement (ঘোষণা); include article and plural,Ansage | plural: -n | IPA: diː ˈanzˌɑːɡə | Hören Sie auf die Ansagen. | Listen to the announcements. | বাংলা সহায়তা: “ঘোষণা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: connection (সংযোগ); include article and plural,Anschluss | plural: — | IPA: dɛɾ ˈanʃlˌʊs | In Mannheim haben Sie Anschluss nach Saarbrücken. | In Mannheim you have a connection to Saarbrücken. | বাংলা সহায়তা: “সংযোগ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: connection (সংযোগ); include article and plural,Anschluss | plural: — | IPA: dɛɾ ˈanʃlˌʊs | Ist das die Anmeldung für einen Telefonanschluss? | Is that the application for a telephone connection? | বাংলা সহায়তা: “সংযোগ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: advert (বিজ্ঞাপন); include article and plural,Anzeige | plural: -n | IPA: diː ˈantsˌaɪɡə | Ich habe Ihre Anzeige in der Zeitung gelesen. | I read your advert in the newspaper. | বাংলা সহায়তা: “বিজ্ঞাপন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: apartment (কক্ষ); include article and plural,Apartment | plural: -s | IPA: das ˌɑpaɾtmˈɛnt | Wir haben ein Apartment gemietet. | We rented an apartment. | বাংলা সহায়তা: “কক্ষ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: … (প্রাসঙ্গিক বাক্যাংশ); include article and plural,Appetit | plural: — | IPA: dɛɾ ˌapeːtˈɪt | Guten Appetit! | Bon appetit! | বাংলা সহায়তা: “প্রাসঙ্গিক বাক্যাংশ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: lift (লিফট); include article and plural,"Aufzug | plural: -ü, e | IPA: dɛɾ ˈaʊftsˌuːk | In diesem Haus gibt es keinen Aufzug. | There is no lift in this building. | বাংলা সহায়তা: “লিফট” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",2,active,very common,noun
German for: eye (নয়ন); include article and plural,Auge | plural: -n | IPA: das ˈaʊɡə | Er hat blaue Augen. | He has blue eyes. | বাংলা সহায়তা: “নয়ন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: excursion (ভ্রমণ); include article and plural,Ausflug | plural: — | IPA: dɛɾ ˈaʊsflˌuːk | Morgen machen wir einen Ausflug nach Heidelberg. | Tomorrow we are going on an excursion to Heidelberg. | বাংলা সহায়তা: “ভ্রমণ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: exit (প্রস্থান); include article and plural,Ausgang | plural: — | IPA: dɛɾ ˈaʊsɡˌaŋ | Wo ist der Ausgang? | Where is the exit? | বাংলা সহায়তা: “প্রস্থান” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: information/details (তথ্য বা বিস্তারিত); include article and plural,"Auskunft | plural: -ü, e | IPA: diː ˈaʊskʊnft | Können Sie mir eine Auskunft geben? | Can you give me some information? | বাংলা সহায়তা: “তথ্য বা বিস্তারিত” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",2,active,very common,noun
German for: abroad/overseas (বিদেশে); include article and plural,Ausland | plural: — | IPA: das ˈaʊslˌant | Fahren Sie ins Ausland? | Do you travel abroad? | বাংলা সহায়তা: “বিদেশে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: foreigner (বিদেশি ব্যক্তি); include article and plural,Ausländer | plural: - | IPA: dɛɾ ˈaʊslˌɛndɜ | Sind Sie Ausländerin? | Are you a foreigner? | বাংলা সহায়তা: “বিদেশি ব্যক্তি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: statement (বিবৃতি); include article and plural,Aussage | plural: -n | IPA: diː ˈaʊszˌɑːɡə | Ist die Aussage richtig oder falsch? | Is the statement true or false? | বাংলা সহায়তা: “বিবৃতি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: identity card (পরিচয়পত্র); include article and plural,Ausweis | plural: — | IPA: dɛɾ ˈaʊsvˌaɪs | Hier ist mein Ausweis. | Here is my identity card. | বাংলা সহায়তা: “পরিচয়পত্র” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: motorway (মহাসড়ক); include article and plural,Autobahn | plural: -en | IPA: diː ˈaʊtoːbˌɑːn | Wo geht‘s hier bitte zur Autobahn? | How do I get to the motorway? | বাংলা সহায়তা: “মহাসড়ক” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: machine (মেশিন); include article and plural,Automat | plural: — | IPA: dɛɾ ˌaʊtoːmˈɑːt | Die Fahrkarten gibt es nur am Automaten. | Tickets are only available from the machine. | বাংলা সহায়তা: “মেশিন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: baby (শিশু); include article and plural,Baby | plural: -s | IPA: das (en)bˈeɪbi(de) | Mein Kind ist noch ein Baby. | My child is still a baby. | বাংলা সহায়তা: “শিশু” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: bakery (বেকারি); include article and plural,Bäckerei | plural: — | IPA: diː bˌɛkeːrˈaɪ | Ich geh mal schnell zur Bäckerei. | I’m just popping to the bakery. | বাংলা সহায়তা: “বেকারি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: balcony (বারান্দা); include article and plural,Balkon | plural: — | IPA: dɛɾ balkˈoːn | Die Wohnung hat auch einen kleinen Balkon. | The flat also has a small balcony. | বাংলা সহায়তা: “বারান্দা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: banana (কলা); include article and plural,"Banane | plural: -n | IPA: diː banˈɑːnə | Drei Bananen, bitte! | Three bananas, please! | বাংলা সহায়তা: “কলা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",2,active,very common,noun
German for: bank (তীর); include article and plural,Bank | plural: — | IPA: diː bˈaŋk | Die Bank schließt schon um vier Uhr. | The bank closes at 4 pm already. | বাংলা সহায়তা: “তীর” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: bench (বেঞ্চ); include article and plural,Bank | plural: — | IPA: diː bˈaŋk | Er sitzt im Park auf einer Bank und liest. | He’s sits in the park on a bench and reads. | বাংলা সহায়তা: “বেঞ্চ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: official (সরকারী); include article and plural,Beamte | plural: -n | IPA: dɛɾ bəˈamtə | Fragen Sie die Beamtin an Schalter acht! | Ask the official at counter eight! | বাংলা সহায়তা: “সরকারী” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: acquaintance (পরিচিত ব্যক্তি); include article and plural,Bekannte | plural: -n | IPA: dɛɾ diː bəkˈantə | Ein Bekannter von mir heißt Klaus. | An acquaintance of mine is called Klaus. | বাংলা সহায়তা: “পরিচিত ব্যক্তি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: occupation (পেশা); include article and plural,Beruf | plural: -e | IPA: dɛɾ bərˈuːf | Was ist Ihr Beruf? | What is your occupation? | বাংলা সহায়তা: “পেশা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: beer (বিয়ার); include article and plural,"Bier | plural: — | IPA: das bˈiːɾ | Noch ein Bier bitte. | Another beer, please. | বাংলা সহায়তা: “বিয়ার” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",2,active,very common,noun
German for: picture (ছবি); include article and plural,Bild | plural: -er | IPA: das bˈɪlt | Hast du ein Bild von deinem Sohn? | Do you have a picture of your son? | বাংলা সহায়তা: “ছবি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: pear (নাশপাতি); include article and plural,"Birne | plural: -n | IPA: diː bˈɪɾnə | Ein Kilo Birnen, bitte! | One kilogram of pears, please! | বাংলা সহায়তা: “নাশপাতি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",2,active,very common,noun
German for: request (অনুরোধ); include article and plural,Bitte | plural: -n | IPA: diː bˈɪtə | Ich habe noch eine Bitte. | I have one more request. | বাংলা সহায়তা: “অনুরোধ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: pencil (কাঠ পেনসিল); include article and plural,Bleistift | plural: -e | IPA: dɛɾ blˈaɪstɪft | Hast du einen Bleistift? | Do you have a pencil? | বাংলা সহায়তা: “কাঠ পেনসিল” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,common,noun
German for: view (দেখা); include article and plural,Blick | plural: — | IPA: dɛɾ blˈɪk | Von diesem Hotel hat man einen guten Blick auf den Rhein. | From this hotel you have a good view of the Rhine. | বাংলা সহায়তা: “দেখা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,common,noun
German for: flower (ফুল); include article and plural,Blume | plural: -n | IPA: diː blˈʊmə | Gefallen dir die Blumen? | Do you like the flowers? | বাংলা সহায়তা: “ফুল” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,common,noun
German for: sheet (টুকরা); include article and plural,Bogen | plural: — | IPA: dɛɾ bˈoːɡən | Schreiben Sie Ihre Lösungen bitte auf den Antwortbogen. | Write your solutions on the answer sheet. | বাংলা সহায়তা: “টুকরা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,common,noun
German for: (postage) stamp (ডাক টিকিট); include article and plural,Briefmarke | plural: -n | IPA: diː bɾˈiːfmaɾkə | Kaufst du bitte Briefmarken bei der Post. | Could you please buy stamps at the post office. | বাংলা সহায়তা: “ডাক টিকিট” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,common,noun
German for: book (গ্রন্থ); include article and plural,"Buch | plural: -ü, er | IPA: das bˈʊx | Gute Bücher sind oft sehr teuer. | Good books are often very expensive. | বাংলা সহায়তা: “গ্রন্থ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",2,active,common,noun
German for: dictionary (অভিধান); include article and plural,"Wörterbuch | plural: -ü, er | IPA: das vˈœɾtɜbˌʊx | In diesem Wörterbuch finden Sie mehr als 20.000 Wörter. | You will find more than 20,000 words in this dictionary. | বাংলা সহায়তা: “অভিধান” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",2,recognition,common,noun
German for: butter (মাখন); include article and plural,"Butter | plural: — | IPA: diː bˈʊtɜ | Für mich bitte ein Brötchen mit Butter und Käse. | A bread roll with butter and cheese for me, please. | বাংলা সহায়তা: “মাখন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",2,recognition,common,noun
German for: cafe (রেস্তরাঁ); include article and plural,Café | plural: -s | IPA: das kafˈeː | Sollen wir uns im Café treffen? | Should we meet at the cafe? | বাংলা সহায়তা: “রেস্তরাঁ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: CD (সিডি); include article and plural,CD | plural: -s | IPA: diː sˌeːdˈeː | Bring bitte deine Lieblings-CD mit. | Please bring your favourite CD with you. | বাংলা সহায়তা: “সিডি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: boss (কর্মকর্তা বা বস); include article and plural,Chef | plural: — | IPA: dɛɾ ʃˈɛf | Wir haben eine neue Chefin. | We have a new boss. | বাংলা সহায়তা: “কর্মকর্তা বা বস” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: lady (গৃহিণী); include article and plural,Dame | plural: -n | IPA: diː dˈɑːmə | Damen (an der Toilette) | Ladies (toilet sign) | বাংলা সহায়তা: “গৃহিণী” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: lady (গৃহিণী); include article and plural,Dame | plural: -n | IPA: diː dˈɑːmə | Sehr geehrte Damen und Herren! | Ladies and gentlemen! | বাংলা সহায়তা: “গৃহিণী” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: thanks (ধন্যবাদ); include article and plural,Dank | plural: — | IPA: dɛɾ dˈaŋk | Vielen Dank! | Many thanks! | বাংলা সহায়তা: “ধন্যবাদ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: thanks (ধন্যবাদ); include article and plural,Dank | plural: — | IPA: dɛɾ dˈaŋk | Herzlichen Dank! | Thank you very much! | বাংলা সহায়তা: “ধন্যবাদ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: date (তারিখ); include article and plural,Datum | plural: — | IPA: das dˈɑtuːm | Bitte schreiben Sie noch das Datum auf das Formular. | Please write the date on the form. | বাংলা সহায়তা: “তারিখ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
