Front,Back,Week,Status,Frequency,PartOfSpeech
German for: weekend (সাপ্তাহিক ছুটি); include article and plural,Wochenende | plural: -n | IPA: das vˈɔxənəndə | Das ist das Wochenende. | This is the weekend. | এটি সাপ্তাহিক ছুটি।,3,active,very common,noun
German for: tomorrow (আগামিকাল),morgen | plural: — | IPA: mˈɔɾɡən | Morgen beginnt die Schule um 10 Uhr. | Tomorrow school begins at 10 am. | বাংলা সহায়তা: “আগামিকাল” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,adjective/adverb/other
German for: sport (খেলা); include article and plural,Sport | plural: — | IPA: dɛɾ ʃpˈɔɾt | Ich mache viel Sport. | I do a lot of sport. | বাংলা সহায়তা: “খেলা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,noun
German for: hour (ঘন্টা); include article and plural,Stunde | plural: -n | IPA: diː ʃtˈʊndə | Ich bin in einer Stunde zurück. | I will be back in an hour. | বাংলা সহায়তা: “ঘন্টা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,noun
German for: appointment (appointment (ইংরেজি অর্থটি সহায়ক হিসেবে রাখা হয়েছে)); include article and plural,Termin | plural: -e | IPA: dɛɾ tɛɾmˈiːn | Am besten machen wir sofort einen Termin. | It's best to make an appointment immediately. | বাংলা সহায়তা: “appointment (ইংরেজি অর্থটি সহায়ক হিসেবে রাখা হয়েছে)” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,noun
German for: time (সময়); include article and plural,Zeit | plural: — | IPA: diː tsˈaɪt | Ich habe heute keine Zeit. | I have no time today | বাংলা সহায়তা: “সময়” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,noun
German for: after / past (time) (পরে),nach | plural: — | IPA: nˈɑːx | Es ist schon 5 nach 12. | It is already 5 past 12. | বাংলা সহায়তা: “পরে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,adjective/adverb/other
German for: for (an amount of time) (জন্য),seit | plural: — | IPA: zˈaɪt | Ich wohne seit drei Jahren in Köln. | I have lived in Cologne for three years. | বাংলা সহায়তা: “জন্য” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,adjective/adverb/other
German for: to be (switched) on (চালু থাকা),an sein | plural: — | IPA: ˈan zaɪn | Heute Nacht war das Licht an. | The light was on tonight. | বাংলা সহায়তা: “চালু থাকা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to get dressed (পোশাক পরা),(sich) anziehen | plural: — | IPA: ˈantsˌiːən | Ich muss mich noch anziehen. | I still need to get dressed. | বাংলা সহায়তা: “পোশাক পরা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to end (শেষ),aufhören | plural: — | IPA: ˈaʊfhˌøːrən | Der Kurs hört in einer Woche auf. | The course ends in a week. | বাংলা সহায়তা: “শেষ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to end (শেষ),aufhören | plural: — | IPA: ˈaʊfhˌøːrən | Hier hört die Bahnhofstraße auf. | Bahnhofstraße ends here. | বাংলা সহায়তা: “শেষ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to be open (খোলা থাকা),auf sein | plural: — | IPA: ˈaʊf zaɪn | Du brauchst den Schlüssel nicht. Die Wohnung ist auf. | You don’t need the key. The flat is open. | বাংলা সহায়তা: “খোলা থাকা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to get up (ঘুম থেকে ওঠা),aufstehen | plural: — | IPA: ˈaʊfʃtˌeːən | Ich muss immer um vier Uhr aufstehen. | I always need to get up at 4 am. | বাংলা সহায়তা: “ঘুম থেকে ওঠা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to get up (ঘুম থেকে ওঠা),aufstehen | plural: — | IPA: ˈaʊfʃtˌeːən | Soll ich aufstehen? | Should I get up? | বাংলা সহায়তা: “ঘুম থেকে ওঠা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to fill out (ফরম পূরণ করা),ausfüllen | plural: — | IPA: ˈaʊsfˌʏlən | Füllen Sie bitte dieses Formular aus. | Please fill out this form. | বাংলা সহায়তা: “ফরম পূরণ করা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to switch off (বন্ধ করা),ausmachen | plural: — | IPA: ˈaʊsmˌaxən | Mach bitte das Licht aus! | Please switch off the light! | বাংলা সহায়তা: “বন্ধ করা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to look (দেখা),aussehen | plural: — | IPA: ˈaʊszˌeːən | Das sieht schön aus. | That looks beautiful. | বাংলা সহায়তা: “দেখা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to be (switched) off (বন্ধ থাকা),aus sein | plural: — | IPA: ˈaʊs zaɪn | Das Licht ist aus. | The light is off. | বাংলা সহায়তা: “বন্ধ থাকা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to be out (শেষ বা বাইরে থাকা),aus sein | plural: — | IPA: ˈaʊs zaɪn | Die Schule ist aus. | School is out. | বাংলা সহায়তা: “শেষ বা বাইরে থাকা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to alight (যান থেকে নামা),aussteigen | plural: — | IPA: ˈaʊsʃtˌaɪɡən | Wo muss ich aussteigen? | Where do I need to alight? | বাংলা সহায়তা: “যান থেকে নামা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to take off (খুলে ফেলা),"ausziehen | plural: — | IPA: ˈaʊstsˌiːən | Zieh die Schuhe aus, bitte! | Please take off your shoes! | বাংলা সহায়তা: “খুলে ফেলা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",3,active,very common,verb
German for: to get undressed (পোশাক খোলা),sich ausziehen | plural: — | IPA: zɪç ˈaʊstsˌiːən | Ich ziehe mich aus. | I get undressed. | বাংলা সহায়তা: “পোশাক খোলা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to bathe (গোসল করা),"baden | plural: — | IPA: bˈɑːdən | Ich bade nicht so gern, ich dusche lieber. | I don’t like bathing so much, I prefer to shower. | বাংলা সহায়তা: “গোসল করা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",3,active,very common,verb
German for: to mean (নীচ),bedeuten | plural: — | IPA: bədˈɔøtən | Was bedeutet das Wort? | What does that word mean? | বাংলা সহায়তা: “নীচ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to begin (শুরু হওয়া),beginnen | plural: — | IPA: bəɡˈɪnən | Das Spiel beginnt um 15.30 Uhr. | The game begins at 3:30 pm. | বাংলা সহায়তা: “শুরু হওয়া” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to receive (গ্রহণ করা),bekommen | plural: — | IPA: bəkˈɔmən | Haben Sie meinen Brief bekommen? | Did you receive my letter? | বাংলা সহায়তা: “গ্রহণ করা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to have (আছে),bekommen | plural: — | IPA: bəkˈɔmən | Was bekommen Sie? | What will you have? | বাংলা সহায়তা: “আছে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to get (পাওয়া),bekommen | plural: — | IPA: bəkˈɔmən | Dieses Medikament bekommen Sie in der Apotheke. | You can get this medicine in a pharmacy. | বাংলা সহায়তা: “পাওয়া” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to use (ব্যবহার),benutzen | plural: — | IPA: bənˈʊtsən | Die Aufzüge bitte nicht benutzen! | Please don’t use the lifts! | বাংলা সহায়তা: “ব্যবহার” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to visit (পরিদর্শন),besichtigen | plural: — | IPA: bəzˈɪçtɪɡən | Ich möchte gern den Dom besichtigen. | I would like to visit the cathedral. | বাংলা সহায়তা: “পরিদর্শন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to visit (পরিদর্শন),besuchen | plural: — | IPA: bəzˈuːxən | Darf ich dich besuchen? | May I visit you? | বাংলা সহায়তা: “পরিদর্শন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to (as far as) (প্রতি),bis | plural: — | IPA: bˈɪs | Ich fahre nur bis Stuttgart. | I’m only travelling to Stuttgart. | বাংলা সহায়তা: “প্রতি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to ask (জিজ্ঞাসা করা),bitten | plural: — | IPA: bˈɪtən | Darf ich Sie um etwas bitten? | May I ask something of you? | বাংলা সহায়তা: “জিজ্ঞাসা করা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to stay (থাকা),bleiben | plural: — | IPA: blˈaɪbən | Ich bleibe heute zu Hause. | I'm staying home today. | বাংলা সহায়তা: “থাকা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to stay (থাকা),bleiben | plural: — | IPA: blˈaɪbən | Wir bleiben nur bis morgen. | We are only staying until tomorrow. | বাংলা সহায়তা: “থাকা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to need (প্রয়োজন),brauchen | plural: — | IPA: bɾˈaʊxən | Brauchst du die Zeitung noch? | Do you still need the newspaper? | বাংলা সহায়তা: “প্রয়োজন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to bring (আনা),bringen | plural: — | IPA: bɾˈɪŋən | Bringen Sie mir bitte noch einen Kaffee! | Please bring me another coffee! | বাংলা সহায়তা: “আনা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to take (নেওয়া),bringen | plural: — | IPA: bɾˈɪŋən | Wir müssen ihn zum Arzt bringen. | We need to take him to the doctor. | বাংলা সহায়তা: “নেওয়া” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to thank (ধন্যবাদ),danken | plural: — | IPA: dˈaŋkən | Ich danke Ihnen für die Einladung. | I thank you for the invitation. | বাংলা সহায়তা: “ধন্যবাদ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to take (duration) (নেওয়া),dauern | plural: — | IPA: dˈaʊɜn | Wie lange dauert der Film? | How long is the film? | বাংলা সহায়তা: “নেওয়া” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to print (ছাপা),drucken | plural: — | IPA: dɾˈʊkən | Bitte drucke das Formular für mich. | Please print the form for me. | বাংলা সহায়তা: “ছাপা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to press (সংবাদপত্র),"drücken | plural: — | IPA: dɾˈʏkən | Drück hier, dann geht der Computer an. | Press here, then the computer turns on. | বাংলা সহায়তা: “সংবাদপত্র” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",3,active,very common,verb
German for: to be allowed (অনুমতি থাকা),dürfen | plural: — | IPA: dˈʏɾfən | Sie dürfen hier nicht rauchen. | You are not allowed to smoke here. | বাংলা সহায়তা: “অনুমতি থাকা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to be allowed (অনুমতি থাকা),dürfen | plural: — | IPA: dˈʏɾfən | Darf ich Sie zu einem Kaffee einladen? | May I invite you for a coffee? | বাংলা সহায়তা: “অনুমতি থাকা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to be allowed (অনুমতি থাকা),dürfen | plural: — | IPA: dˈʏɾfən | Es darf nicht mehr als 15 Euro kosten. | It may not cost more than 15 euros. | বাংলা সহায়তা: “অনুমতি থাকা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to shower (শাওয়ার নেওয়া),"(sich) duschen | plural: — | IPA: dˈuːʃən | Ich bade nicht so gern, ich dusche lieber. | I don’t like bathing so much, I prefer to shower. | বাংলা সহায়তা: “শাওয়ার নেওয়া” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",3,active,very common,verb
German for: to invite / treat (আমন্ত্রণ করা),einladen | plural: — | IPA: ˈaɪnlˌɑːdən | Darf ich Sie zu einem Kaffee einladen? | May I treat you to a coffee? | বাংলা সহায়তা: “আমন্ত্রণ করা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to get on (board) (যানে ওঠা),"einsteigen | plural: — | IPA: ˈaɪnʃtˌaɪɡən | Schnell, steig ein, der Zug fährt gleich. | Quick, get on, the train is about to leave! | বাংলা সহায়তা: “যানে ওঠা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",3,active,very common,verb
German for: to recommend (পরামর্শ),empfehlen | plural: — | IPA: ɛmpfˈeːlən | Welchen Wein können Sie mir empfehlen? | Which wine can you recommend to me? | বাংলা সহায়তা: “পরামর্শ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to end (শেষ),enden | plural: — | IPA: ˈɛndən | Die Straße endet hier. | The street ends here. | বাংলা সহায়তা: “শেষ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to excuse (মাফ করা),"entschuldigen | plural: — | IPA: ɛntʃˈʊldɪɡən | Entschuldigen Sie bitte! | Excuse me, please! | বাংলা সহায়তা: “মাফ করা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",3,active,very common,verb
German for: to explain (ব্যাখ্যা করা),erklären | plural: — | IPA: ɛɾklˈɛːrən | Kannst du mir das erklären? | Can you explain that to me? | বাংলা সহায়তা: “ব্যাখ্যা করা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to tell (বল),erzählen | plural: — | IPA: ɛɾtsˈɛːlən | Wir müssen euch etwas erzählen! | We need to tell you something! | বাংলা সহায়তা: “বল” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to eat (খাওয়া),essen | plural: — | IPA: ˈɛsən | Was gibt es zu essen? | What is there to eat? | বাংলা সহায়তা: “খাওয়া” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to celebrate (উদযাপন),feiern | plural: — | IPA: fˈaɪɜn | Wir feiern heute meinen Geburtstag. | Today we are celebrating my birthday. | বাংলা সহায়তা: “উদযাপন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to be absent (অনুপস্থিত থাকা),"fehlen | plural: — | IPA: fˈeːlən | Herr Müller ist nicht da, er fehlt schon seit drei Tagen. | Mr Müller is not here, he’s been absent for three days. | বাংলা সহায়তা: “অনুপস্থিত থাকা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",3,active,very common,verb
German for: to be missing (না থাকা বা নিখোঁজ হওয়া),fehlen | plural: — | IPA: fˈeːlən | Was fehlt Ihnen? | What are you missing? | বাংলা সহায়তা: “না থাকা বা নিখোঁজ হওয়া” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to watch TV (টেলিভিশন দেখা),fernsehen | plural: — | IPA: fˈɛɾnzeːən | Wollen wir heute Abend mal fernsehen? | Shall we watch TV this evening? | বাংলা সহায়তা: “টেলিভিশন দেখা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to find (সন্ধান করা),finden | plural: — | IPA: fˈɪndən | Wir müssen den Schlüssel finden. | We must find the key. | বাংলা সহায়তা: “সন্ধান করা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to fly (মাছি),fliegen | plural: — | IPA: flˈiːɡən | Ich fliege nicht gern. Deshalb fahre ich mit dem Zug. | I don’t like to fly. That's why I travel by train. | বাংলা সহায়তা: “মাছি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to depart (by air) (বিমানে রওনা হওয়া),abfliegen | plural: — | IPA: ˈapflˌiːɡən | Wann fliegst du ab? | When do you depart? | বাংলা সহায়তা: “বিমানে রওনা হওয়া” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to ask (জিজ্ঞাসা করা),fragen | plural: — | IPA: frˈɑːɡən | Er möchte Sie etwas fragen. Wann kommen Sie? | He wants to ask you something. When are you coming? | বাংলা সহায়তা: “জিজ্ঞাসা করা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to look forward (আগ্রহ নিয়ে অপেক্ষা করা),(sich) freuen | plural: — | IPA: frˈɔøən | Ich freue mich auf den Urlaub. | I’m looking forward to the holiday. | বাংলা সহায়তা: “আগ্রহ নিয়ে অপেক্ষা করা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to have breakfast (নাশতা করা),frühstücken | plural: — | IPA: frˈyːʃtʏkən | Am Sonntag frühstücke ich gern im Bett. | On Sunday I like to have breakfast in bed. | বাংলা সহায়তা: “নাশতা করা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to give (দেওয়া),"geben | plural: — | IPA: ɡˈeːbən | Kannst du mir bitte deinen Kugelschreiber geben? | Can you give me your pen, please? | বাংলা সহায়তা: “দেওয়া” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",3,active,very common,verb
German for: to like (অনুরূপ),gefallen | plural: — | IPA: ɡəfˈalən | Das gefällt mir. | I like that. | বাংলা সহায়তা: “অনুরূপ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to go (চলা),gehen | plural: — | IPA: ɡˈeːən | Wie geht's? | How is it going? | বাংলা সহায়তা: “চলা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to go (চলা),gehen | plural: — | IPA: ɡˈeːən | Jetzt muss ich (aber) leider gehen. | Unfortunately I need to go now. | বাংলা সহায়তা: “চলা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to go (চলা),gehen | plural: — | IPA: ɡˈeːən | Ich muss zum Arzt gehen. | I need to go to the doctor. | বাংলা সহায়তা: “চলা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to be okay (ঠিক থাকা),gehen | plural: — | IPA: ɡˈeːən | Das geht nicht! | That’s not okay! | বাংলা সহায়তা: “ঠিক থাকা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,common,verb
German for: to belong (অন্তর্ভুক্ত হওয়া),gehören | plural: — | IPA: ɡəhˈøːrən | Wem gehört das? | To whom does that belong? | বাংলা সহায়তা: “অন্তর্ভুক্ত হওয়া” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,common,verb
German for: to win (জয়),gewinnen | plural: — | IPA: ɡəvˈɪnən | Wer gewinnt das Spiel? | Who is winning the game? | বাংলা সহায়তা: “জয়” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,common,verb
German for: to believe (বিশ্বাস করা),"glauben | plural: — | IPA: ɡlˈaʊbən | Sie können mir glauben, es ist so. | You can believe me, it’s true. | বাংলা সহায়তা: “বিশ্বাস করা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",3,active,common,verb
German for: to think (ভাবা),"glauben | plural: — | IPA: ɡlˈaʊbən | Ich glaube, er kommt gleich. | I think he’ll be here in a moment. | বাংলা সহায়তা: “ভাবা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",3,active,common,verb
German for: to congratulate (অভিনন্দন জানান),gratulieren | plural: — | IPA: ɡɾˌɑtuːlˈiːrən | Ich gratuliere dir! | I congratulate you! | বাংলা সহায়তা: “অভিনন্দন জানান” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,common,verb
German for: to (have a) barbecue (বারবিকিউ করা),grillen | plural: — | IPA: ɡɾˈɪlən | Heute grillen wir im Garten. | Today we are having a barbecue in the garden. | বাংলা সহায়তা: “বারবিকিউ করা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,recognition,common,verb
German for: to have (আছে),haben | plural: — | IPA: hˈɑːbən | Ich habe ein neues Auto. | I have a new car. | বাংলা সহায়তা: “আছে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,recognition,common,verb
German for: to stop (থামা),halten | plural: — | IPA: hˈaltən | Dieser Zug hält nicht in Rüdesheim. | This train does not stop in Rüdesheim. | বাংলা সহায়তা: “থামা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,recognition,common,verb
German for: to marry (বিয়ে করা),heiraten | plural: — | IPA: haɪrˈɑːtən | Meine Schwester heiratet einen Japaner. | My sister is marrying a Japanese man. | বাংলা সহায়তা: “বিয়ে করা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,recognition,common,verb
German for: to be called (নাম হওয়া),heißen | plural: — | IPA: hˈaɪsən | Ich heiße Charlotte Meier. | I’m called Charlotte Meier. | বাংলা সহায়তা: “নাম হওয়া” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,recognition,common,verb
German for: to be called (নাম হওয়া),heißen | plural: — | IPA: hˈaɪsən | ßt das auf Deutsch? | What’s that called in German? | বাংলা সহায়তা: “নাম হওয়া” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,recognition,common,verb
German for: to fetch (এনে দেওয়া),holen | plural: — | IPA: hˈoːlən | Ich hole zwei Flaschen Wasser aus der Küche. | I’m fetching two bottles of water from the kitchen. | বাংলা সহায়তা: “এনে দেওয়া” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,recognition,common,verb
