Front,Back,Week,Status,Frequency,PartOfSpeech
German for: bird (পাখি); include article and plural,Vogel | plural: Vögel | IPA: dɛɾ fˈoːɡəl | Das ist der Vogel. | This is the bird. | এটি পাখি।,6,active,very common,noun
German for: unemployed (বেকার),"arbeitslos | plural: — | IPA: ˈaɾbaɪtslˌoːs | Es gibt bei uns viele Leute, die schon lange arbeitslos sind. | We have a lot of people who have been unemployed for a long time. | বাংলা সহায়তা: “বেকার” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",6,active,very common,adjective/adverb/other
German for: also (ও),auch | plural: — | IPA: ˈaʊx | Ich bin auch Spanier. | I am also Spanish. | বাংলা সহায়তা: “ও” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: foreign (বিদেশি),ausländisch | plural: — | IPA: ˈaʊslˌɛndɪʃ | Leider habe ich nur ausländisches Geld. | Unfortunately I only have foreign money. | বাংলা সহায়তা: “বিদেশি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: automatic (স্বয়ংক্রিয়),automatisch | plural: — | IPA: aʊtˈoːmˈɑːtɪʃ | Du musst nichts machen. Das geht automatisch. | You don’t need to do anything. It's automatic. | বাংলা সহায়তা: “স্বয়ংক্রিয়” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: soon (শিগগির),bald | plural: — | IPA: bˈalt | Ich komme bald. | I’m coming soon. | বাংলা সহায়তা: “শিগগির” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: cash (নগদ),"bar | plural: — | IPA: bˈɑːɾ | Muss ich bar zahlen oder geht‘s auch mit Karte? | Do I have to pay in cash, or can I also pay by card? | বাংলা সহায়তা: “নগদ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",6,active,very common,adjective/adverb/other
German for: here / where we are (এখানে),bei uns | plural: — | IPA: baɪ ˈʊns | Bei uns regnet es heute. | It is raining here today. | বাংলা সহায়তা: “এখানে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: both (উভয়),beide | plural: — | IPA: bˈaɪdə | Beide Eltern arbeiten. | Both parents work. | বাংলা সহায়তা: “উভয়” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: both (উভয়),beide | plural: — | IPA: bˈaɪdə | Wir kommen beide. | We are both coming. | বাংলা সহায়তা: “উভয়” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: well known (সুপরিচিত),bekannt | plural: — | IPA: bəkˈant | Picasso ist sehr bekannt. | Picasso is very well known. | বাংলা সহায়তা: “সুপরিচিত” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: busy (ব্যস্ত),besetzt | plural: — | IPA: bəzˈɛtst | Die Nummer ist immer besetzt. | The number is always busy. | বাংলা সহায়তা: “ব্যস্ত” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: taken (দখল করা বা ব্যস্ত),besetzt | plural: — | IPA: bəzˈɛtst | Der Platz ist besetzt. | The seat is taken. | বাংলা সহায়তা: “দখল করা বা ব্যস্ত” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: better (ভাল),besser | plural: — | IPA: bˈɛsɜ | Es geht mir schon besser. | I'm already feeling better. | বাংলা সহায়তা: “ভাল” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: best (সবচেয়ে ভাল),best- | plural: — | IPA: bˈɛst | Am besten treffen wir uns morgen. | It's best that we meet tomorrow. | বাংলা সহায়তা: “সবচেয়ে ভাল” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: cheap (সস্তা),billig | plural: — | IPA: bˈɪlɪç | Die Jacke kostet nur 10 Euro! Die ist aber billig! | The jacket only costs 10 euros! That’s cheap! | বাংলা সহায়তা: “সস্তা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: (a) little (ছোট),"bisschen | plural: — | IPA: bˈɪsçən | Ich spreche Englisch, Französisch und ein bisschen Deutsch. | I speak English, French, and a little German. | বাংলা সহায়তা: “ছোট” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",6,active,very common,adjective/adverb/other
German for: please (দয়া করে),"bitte | plural: — | IPA: bˈɪtə | Eine Tasse Kaffee, bitte! | A cup of coffee, please! | বাংলা সহায়তা: “দয়া করে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",6,active,very common,adjective/adverb/other
German for: please (দয়া করে),bitte | plural: — | IPA: bˈɪtə | Sprechen Sie bitte leise! | Please speak softly! | বাংলা সহায়তা: “দয়া করে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: bitter (তিতা),bitter | plural: — | IPA: bˈɪtɜ | Der Kaffee schmeckt bitter. | The coffee tastes bitter. | বাংলা সহায়তা: “তিতা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: angry (ক্রুদ্ধ),böse | plural: — | IPA: bˈøːzə | Sie ist böse auf mich. | She is angry with me. | বাংলা সহায়তা: “ক্রুদ্ধ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: wide (প্রশস্ত),breit | plural: — | IPA: bɾˈaɪt | Wie breit ist der Schrank? | How wide is the cupboard? | বাংলা সহায়তা: “প্রশস্ত” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: approximately (মোটামুটি ভাবে),circa/ca. | plural: — | IPA: kˈɪɾkɑː kˈɑː | Von Mainz nach Frankfurt sind es circa fünfzig Kilometer. | From Mainz to Frankfurt it is approximately 50 kilometres. | বাংলা সহায়তা: “মোটামুটি ভাবে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: there (সেখানে),da | plural: — | IPA: dˈɑː | Da hinten ist er ja. | He’s back there. | বাংলা সহায়তা: “সেখানে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: here (এখানে),da | plural: — | IPA: dˈɑː | Wir sprechen gerade über Paul. Da kommt er ja gerade. | We are talking about Paul. Here he comes now. | বাংলা সহায়তা: “এখানে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: there (সেখানে),da | plural: — | IPA: dˈɑː | Ich nehme das da. | I’ll take that there. | বাংলা সহায়তা: “সেখানে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: here (এখানে),da | plural: — | IPA: dˈɑː | Ist Herr Klein schon da? | Is Mr Klein already here? | বাংলা সহায়তা: “এখানে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: next to it (তার পাশে),daneben | plural: — | IPA: dɑːnˈeːbən | Du kennst doch die Post. Daneben ist die Bank. | You do know the post office. The bank is next to it. | বাংলা সহায়তা: “তার পাশে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: thank you (ধন্যবাদ),"danke | plural: — | IPA: dˈaŋkə | Soll ich Ihnen helfen? / Nein, danke! | Can I help you? / No thank you! | বাংলা সহায়তা: “ধন্যবাদ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",6,active,very common,adjective/adverb/other
German for: then (afterwards) (তারপর),"dann | plural: — | IPA: dˈan | Ich muss noch schnell zur Post, dann komme ich. | I still need to pop to the post office, then I’ll come. | বাংলা সহায়তা: “তারপর” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",6,active,very common,adjective/adverb/other
German for: your (তোমার),dein- | plural: — | IPA: dˈaɪn | Ist das dein Auto? | Is that your car? | বাংলা সহায়তা: “তোমার” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: yours (আপনার),dein- | plural: — | IPA: dˈaɪn | Ist das deins? | Is that yours? | বাংলা সহায়তা: “আপনার” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: that (সেটা),das | plural: — | IPA: dˈas | Ich nehme das da. | I’ll take that there. | বাংলা সহায়তা: “সেটা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: the (এই),das | plural: — | IPA: dˈas | Ich mag das Buch. | I like the book. | বাংলা সহায়তা: “এই” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: the (এই),"der | plural: — | IPA: dˈɛɾ | Hier ist der Brief, den du suchst. | Here is the letter that you’re looking for. | বাংলা সহায়তা: “এই” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",6,active,very common,adjective/adverb/other
German for: the (এই),die | plural: — | IPA: dˈiː | Die Fahrkarte bekommst du am Bahnhof. | You will get the ticket at the train station. | বাংলা সহায়তা: “এই” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: you (আপনি),dich | plural: — | IPA: dˈɪç | Die Blumen sind für dich. | The flowers are for you. | বাংলা সহায়তা: “আপনি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: this (এই),dies- | plural: — | IPA: dˈiːs | Ich nehme lieber diesen Kuchen. | I’d prefer to have this cake. | বাংলা সহায়তা: “এই” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: you (আপনি),dir | plural: — | IPA: dˈiːɾ | Gefallen dir die Blumen? | Do you like the flowers? | বাংলা সহায়তা: “আপনি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: there (সেখানে),dort | plural: — | IPA: dˈɔɾt | Dort ist mein Zimmer. | There's my room. | বাংলা সহায়তা: “সেখানে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: from there (সেখান থেকে),dorther | plural: — | IPA: dˈɔɾtɜ | Er kommt gerade dorther. | He's just coming from there. | বাংলা সহায়তা: “সেখান থেকে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: outside (বাইরে),draußen | plural: — | IPA: dɾˈaʊsən | Wollen wir draußen sitzen? | Shall we sit outside? | বাংলা সহায়তা: “বাইরে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: through (মধ্য দিয়ে),durch | plural: — | IPA: dˈʊɐç | Am besten gehen Sie durch die Breite Straße. | It's best to go through Breite Straße. | বাংলা সহায়তা: “মধ্য দিয়ে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: … (প্রাসঙ্গিক বাক্যাংশ),eilig | plural: — | IPA: ˈaɪlɪç | Hast du es eilig? | Are you in a hurry? | বাংলা সহায়তা: “প্রাসঙ্গিক বাক্যাংশ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: one / a (এক),"ein- | plural: — | IPA: ˈaɪn | Ich nehme ein Bier. Willst du auch eins? | I’ll have a beer. Do you want one, too? | বাংলা সহায়তা: “এক” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",6,active,very common,adjective/adverb/other
German for: someone (কোনও একজন),"ein- | plural: — | IPA: ˈaɪn | Ist hier einer, der das kann? | Is there someone here who can do that? | বাংলা সহায়তা: “কোনও একজন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",6,active,very common,adjective/adverb/other
German for: simple (সহজ),einfach | plural: — | IPA: ˈaɪnfˌax | Die Prüfung ist ganz einfach. | The test is very simple. | বাংলা সহায়তা: “সহজ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: simple (সহজ),einfach | plural: — | IPA: ˈaɪnfˌax | Ich brauche nur ein einfaches Zimmer. | I just need a simple room. | বাংলা সহায়তা: “সহজ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: again (পুনরায়),noch einmal | plural: — | IPA: nˈɔx ˈaɪnmˌɑːl | Diese Prüfung mache ich nicht noch einmal. | I will not take this exam again. | বাংলা সহায়তা: “পুনরায়” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: once (একবার),einmal | plural: — | IPA: ˈaɪnmˌɑːl | Sie dürfen diese Prüfung nur einmal machen. | You may only take this exam once. | বাংলা সহায়তা: “একবার” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: he (সে),er | plural: — | IPA: ˈɛɾ | Er heißt Ali. | He’s called Ali. | বাংলা সহায়তা: “সে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: allow (অনুমতি দেয়া),erlauben | plural: — | IPA: ɛɾlˈaʊbən | Rauchen ist hier nicht erlaubt. | Smoking is not allowed here. | বাংলা সহায়তা: “অনুমতি দেয়া” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: it (এটা),es | plural: — | IPA: ˈɛs | Es regnet. | It’s raining. | বাংলা সহায়তা: “এটা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: your [pl.] (তোমাদের),euer | plural: — | IPA: ˈɔøɜ | Euer Kurs beginnt heute. | Your course begins today. | বাংলা সহায়তা: “তোমাদের” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,common,adjective/adverb/other
German for: free (ছেড়ে দেয়া),frei | plural: — | IPA: frˈaɪ | Ist der Platz noch frei? | Is this seat still free? | বাংলা সহায়তা: “ছেড়ে দেয়া” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,common,adjective/adverb/other
German for: foreign (বিদেশি),"fremd | plural: — | IPA: frˈɛmt | Das weiß ich nicht, ich bin fremd hier. | I don’t know, I’m not from here. | বাংলা সহায়তা: “বিদেশি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",6,active,common,adjective/adverb/other
German for: earlier / in the past (গোড়ার দিকে),früher | plural: — | IPA: frˈyːɜ | Früher waren wir oft zusammen im Kino. | In the past we often went to the cinema together. | বাংলা সহায়তা: “গোড়ার দিকে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,common,adjective/adverb/other
German for: there is/are (আছে),es gibt | plural: — | IPA: ɛs ɡˈiːpt | Es gibt keine Karten mehr. | There are no more tickets. | বাংলা সহায়তা: “আছে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,common,adjective/adverb/other
German for: born (জন্ম নেওয়া),geboren | plural: — | IPA: ɡəbˈoːrən | Ich bin in Zagreb geboren. | I was born in Zagreb. | বাংলা সহায়তা: “জন্ম নেওয়া” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,common,adjective/adverb/other
German for: into (মধ্যে),gegen | plural: — | IPA: ɡˈeːɡən | Fahr nicht gegen den Baum! | Don’t drive into the tree! | বাংলা সহায়তা: “মধ্যে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,recognition,common,adjective/adverb/other
German for: against (বিরুদ্ধে),gegen | plural: — | IPA: ɡˈeːɡən | Ich bin gegen diese Lösung. | I am against this solution. | বাংলা সহায়তা: “বিরুদ্ধে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,recognition,common,adjective/adverb/other
German for: against (বিরুদ্ধে),gegen | plural: — | IPA: ɡˈeːɡən | Wer spielt gegen wen? | Who is playing against whom? | বাংলা সহায়তা: “বিরুদ্ধে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,recognition,common,adjective/adverb/other
German for: now (এখন),gerade | plural: — | IPA: ɡərˈɑːdə | Da kommt er ja gerade. | There he comes now. | বাংলা সহায়তা: “এখন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,recognition,common,adjective/adverb/other
German for: … (প্রাসঙ্গিক বাক্যাংশ),gern(e) | plural: — | IPA: ɡˈɛɾn | Ich gehe gerne einkaufen. | I like to go shopping. | বাংলা সহায়তা: “প্রাসঙ্গিক বাক্যাংশ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,recognition,common,adjective/adverb/other
German for: yesterday (গতকাল),gestern | plural: — | IPA: ɡˈɛstɜn | Gestern war ich krank. | Yesterday I was ill. | বাংলা সহায়তা: “গতকাল” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,recognition,common,adjective/adverb/other
German for: died (মারা গেছেন),gestorben | plural: — | IPA: ɡəʃtˈɔɾbən | Meine Frau ist gestern gestorben. | My wife died yesterday. | বাংলা সহায়তা: “মারা গেছেন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,recognition,common,adjective/adverb/other
German for: same (একই),gleich | plural: — | IPA: ɡlˈaɪç | Das ist mir gleich. | It’s all the same to me. | বাংলা সহায়তা: “একই” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,recognition,common,adjective/adverb/other
German for: same (একই),gleich | plural: — | IPA: ɡlˈaɪç | Das ist der gleiche Preis. | That is the same price. | বাংলা সহায়তা: “একই” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,recognition,common,adjective/adverb/other
German for: now (এখন),gleich | plural: — | IPA: ɡlˈaɪç | Ich komme gleich. | I’ll be right there. | বাংলা সহায়তা: “এখন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,recognition,common,adjective/adverb/other
German for: happily (আনন্দের সঙ্গে),glücklich | plural: — | IPA: ɡlˈʏklɪç | Meine Kinder sind glücklich verheiratet. | My children are happily married. | বাংলা সহায়তা: “আনন্দের সঙ্গে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,recognition,common,adjective/adverb/other
German for: tall (লম্বা),groß | plural: — | IPA: ɡɾˈoːs | Mein Bruder und ich sind gleich groß. | My brother and I are the same height. | বাংলা সহায়তা: “লম্বা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,recognition,common,adjective/adverb/other
German for: large (বড়),groß | plural: — | IPA: ɡɾˈoːs | Frankfurt ist eine große Stadt. | Frankfurt is a large town. | বাংলা সহায়তা: “বড়” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,recognition,common,adjective/adverb/other
German for: valid (বৈধ),gültig | plural: — | IPA: ɡˈʏltɪç | Der Pass ist nicht mehr gültig. | The passport is no longer valid. | বাংলা সহায়তা: “বৈধ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,recognition,common,adjective/adverb/other
German for: cheap (সস্তা),günstig | plural: — | IPA: ɡˈʏnstɪç | Dort gibt es günstige Angebote. | There are cheap offers there. | বাংলা সহায়তা: “সস্তা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,recognition,common,adjective/adverb/other
German for: … (প্রাসঙ্গিক বাক্যাংশ),gut | plural: — | IPA: ɡˈuːt | Ein gutes neues Jahr! | Happy new year! | বাংলা সহায়তা: “প্রাসঙ্গিক বাক্যাংশ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,recognition,common,adjective/adverb/other
