Front,Back,Week,Status,Frequency,PartOfSpeech
German for: the train station,der Bahnhof | plural: — | IPA: /ˈbaːnˌhoːf/ | Der Bahnhof ist sehr groß. | The train station is very big.,9,active,common,noun
German for: to change / transfer trains,umsteigen | plural: — | IPA: /ˈʊmˌʃtaɪɡən/ | Müssen wir umsteigen? | Do we have to change trains?,9,active,common,verb
German for: the departure,die Abfahrt | plural: — | IPA: /ˈapˌfaːɐ̯t/ | Wann ist die Abfahrt? | When is the departure?,9,active,common,noun
German for: the arrival,die Ankunft | plural: — | IPA: /ˈanˌkʊnft/ | Die Ankunft ist um 14:15 Uhr. | The arrival is at 14:15.,9,active,common,noun
German for: the platform / track (pl: Gleise),der Gleis | plural: — | IPA: /ɡlaɪs/ | Der Zug fährt von Gleis 4 ab. | The train leaves from platform 4.,9,active,common,noun
German for: the delay,die Verspätung | plural: — | IPA: /fɛɐ̯ˈʃpɛːtʊŋ/ | Der Zug hat 10 Minuten Verspätung. | The train has a 10 minute delay.,9,active,common,noun
German for: one-way (ticket),"einfach | plural: — | IPA: /ˈaɪnfax/ | Ein Ticket einfach, bitte. | A one-way ticket, please.",9,active,common,phrase
German for: return / round-trip,"hin und zurück | plural: — | IPA: /hɪn ʊnt tsuˈʁʏk/ | Ein Ticket hin und zurück, bitte. | A return ticket, please.",9,active,common,phrase
German for: ticket machine,der Fahrkartenautomat | plural: — | IPA: /ˈfaːɐ̯kaʁtən_aʊtomaːt/ | Kaufe die Karte am Automat. | Buy the ticket at the machine.,9,active,common,noun
German for: to validate / stamp ticket,entwerten | plural: — | IPA: /ɛntˈveːʁtən/ | Sie müssen die Fahrkarte entwerten. | You must validate your ticket.,9,active,common,verb
German for: the destination / goal,das Ziel | plural: — | IPA: /tsiːl/ | Sie haben Ihr Ziel erreicht. | You have reached your destination.,9,active,common,noun
German for: lost,verloren | plural: — | IPA: /fɛɐ̯ˈloːʁən/ | Ich bin verloren! Wo bin ich? | I am lost! Where am I?,9,active,common,adj
German for: the map / card,die Karte | plural: — | IPA: /ˈkaʁtə/ | Haben Sie einen Stadtplan? | Do you have a city map?,9,active,common,noun
German for: of all things / just,ausgerechnet | plural: — | IPA: /ˈaʊsɡəˌʁɛçnət/ | Ausgerechnet heute regnet es. | Of all days it is raining today.,9,active,common,phrase
German for: certainly / definitely,bestimmt | plural: — | IPA: /bəˈʃtɪmt/ | Das ist bestimmt richtig. | That is definitely correct.,9,active,common,phrase
German for: the exit,der Ausgang | plural: — | IPA: /ˈaʊsˌɡaŋ/ | Wo ist der Ausgang? | Where is the exit?,9,active,common,noun
German for: the entrance,der Eingang | plural: — | IPA: /ˈaɪnˌɡaŋ/ | Der Eingang ist um die Ecke. | The entrance is around the corner.,9,active,common,noun
German for: around the corner,um die Ecke | plural: — | IPA: /ʊm diː ˈɛkə/ | Die Apotheke ist um die Ecke. | The pharmacy is around the corner.,9,active,common,phrase
