Front,Back,Week,Status,Frequency,PartOfSpeech
German for: arm (বাহু); include article and plural,Arm | plural: -e | IPA: dɛɾ ˈaɾm | Mein Arm tut weh. | My arm hurts. | বাংলা সহায়তা: “বাহু” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,noun
German for: sick (অসুস্থ),schlecht | plural: — | IPA: ʃlˈɛçt | Mir ist schlecht! | I am sick. | বাংলা সহায়তা: “অসুস্থ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,adjective/adverb/other
German for: headache (মাথাব্যথা); include article and plural,Kopfschmerz | plural: -en | IPA: dɛɾ kˈɔpfʃmɜts | Das ist der Kopfschmerz. | This is the headache. | এটি মাথাব্যথা।,7,active,very common,noun
German for: sore throat (গলাব্যথা); include article and plural,Halsschmerz | plural: -en | IPA: dɛɾ hˈalsçmɜts | Das ist der Halsschmerz. | This is the sore throat. | এটি গলাব্যথা।,7,active,very common,noun
German for: cough (কাশি); include article and plural,der Husten | plural: - | IPA: dɛɾ hˈʊstən | Wir benutzen heute „der Husten“. | Today we use “cough”. | আজ আমরা “কাশি” অর্থটি ব্যবহার করি।,7,active,very common,noun
German for: cold (সর্দি); include article and plural,der Schnupfen | plural: - | IPA: dɛɾ ʃnˈʊpfən | Wir benutzen heute „der Schnupfen“. | Today we use “cold”. | আজ আমরা “সর্দি” অর্থটি ব্যবহার করি।,7,active,very common,noun
German for: fever (জ্বর); include article and plural,das Fieber | plural: - | IPA: das fˈiːbɜ | Wir benutzen heute „das Fieber“. | Today we use “fever”. | আজ আমরা “জ্বর” অর্থটি ব্যবহার করি।,7,active,very common,noun
German for: tablet (ওষুধের বড়ি); include article and plural,Tablette | plural: -n | IPA: diː tˈablɛtə | Das ist die Tablette. | This is the tablet. | এটি ওষুধের বড়ি।,7,active,very common,noun
German for: prescription (প্রেসক্রিপশন); include article and plural,Rezept | plural: -e | IPA: das reːtsˈɛpt | Das ist das Rezept. | This is the prescription. | এটি প্রেসক্রিপশন।,7,active,very common,noun
German for: health insurance (স্বাস্থ্যবিমা); include article and plural,Krankenversicherung | plural: -en | IPA: diː kɾˌankənfɛɾzˈɪçərˌʊŋ | Das ist die Krankenversicherung. | This is the health insurance. | এটি স্বাস্থ্যবিমা।,7,active,very common,noun
German for: emergency call (জরুরি কল); include article and plural,Notruf | plural: -e | IPA: dɛɾ nˈɔtɾuːf | Das ist der Notruf. | This is the emergency call. | এটি জরুরি কল।,7,active,very common,noun
German for: accident (দুর্ঘটনা); include article and plural,Unfall | plural: Unfälle | IPA: dɛɾ ˈʊnfˌal | Das ist der Unfall. | This is the accident. | এটি দুর্ঘটনা।,7,active,very common,noun
German for: fire brigade (দমকল বাহিনী); include article and plural,Feuerwehr | plural: -en | IPA: diː fˈɔøɜvˌeːɾ | Das ist die Feuerwehr. | This is the fire brigade. | এটি দমকল বাহিনী।,7,active,very common,noun
German for: ambulance (অ্যাম্বুলেন্স); include article and plural,Rettungswagen | plural: - | IPA: dɛɾ rˈɛtʊŋsvˌɑːɡən | Das ist der Rettungswagen. | This is the ambulance. | এটি অ্যাম্বুলেন্স।,7,active,very common,noun
German for: police (পুলিশ); include article and plural,die Polizei | plural: - | IPA: diː pˌoːliːtsˈaɪ | Wir benutzen heute „die Polizei“. | Today we use “police”. | আজ আমরা “পুলিশ” অর্থটি ব্যবহার করি।,7,active,very common,noun
German for: help (সাহায্য); include article and plural,die Hilfe | plural: - | IPA: diː hˈɪlfə | Wir benutzen heute „die Hilfe“. | Today we use “help”. | আজ আমরা “সাহায্য” অর্থটি ব্যবহার করি।,7,active,very common,noun
German for: unconscious (অচেতন),bewusstlos | plural: — | IPA: bəvˈʊsʃtloːs | Wir benutzen heute „bewusstlos“. | Today we use “unconscious”. | আজ আমরা “অচেতন” অর্থটি ব্যবহার করি।,7,active,very common,adjective
German for: injured (আহত),verletzt | plural: — | IPA: fɛɾlˈɛtst | Wir benutzen heute „verletzt“. | Today we use “injured”. | আজ আমরা “আহত” অর্থটি ব্যবহার করি।,7,active,very common,adjective
German for: to be (হওয়া),sein | plural: — | IPA: zˈaɪn | Mir ist kalt. | I'm cold. | বাংলা সহায়তা: “হওয়া” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,verb
German for: to be (হওয়া),sein | plural: — | IPA: zˈaɪn | Ich bin dreiundzwanzig. | I am twenty three. | বাংলা সহায়তা: “হওয়া” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,verb
German for: to be on (হওয়া উপর বা চালু),an sein | plural: — | IPA: ˈan zaɪn | Das Licht ist noch an. | The light is still on. | বাংলা সহায়তা: “হওয়া উপর বা চালু” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,verb
German for: to be open (খোলা থাকা),auf sein | plural: — | IPA: ˈaʊf zaɪn | Das Fenster ist noch auf. | The window is still open. | বাংলা সহায়তা: “খোলা থাকা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,verb
German for: to be gone (হওয়া অতীত),weg sein | plural: — | IPA: vˈeːk zaɪn | Herr Meier ist schon weg. | Mr Meier is already gone. | বাংলা সহায়তা: “হওয়া অতীত” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,verb
German for: to be closed (হওয়া বন্ধ),zu sein | plural: — | IPA: tsˈuː zaɪn | Die Tür ist zu. | The door is closed. | বাংলা সহায়তা: “হওয়া বন্ধ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,verb
German for: independent (নিরপেক্ষ),selbstständig | plural: — | IPA: zˈɛlpstʃtˌɛndɪç | Er ist selbstständig. | He is independent. | বাংলা সহায়তা: “নিরপেক্ষ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,adjective/adverb/other
German for: yourself (স্বয়ং),sich | plural: — | IPA: zˈɪç | Sie müssen sich erst anmelden. | You must register yourself first. | বাংলা সহায়তা: “স্বয়ং” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,adjective/adverb/other
German for: she (সে),sie | plural: — | IPA: zˈiː | Wie heißt sie? | What is she called? | বাংলা সহায়তা: “সে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,adjective/adverb/other
German for: you (polite) (আপনি),"Sie | plural: — | IPA: zˈiː | Wie heißen Sie, bitte? | What are you called, please? | বাংলা সহায়তা: “আপনি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",7,active,very common,noun/phrase
German for: to sit (বসা),sitzen | plural: — | IPA: zˈɪtsən | Wo sitzen Sie? | Where are you sitting? | বাংলা সহায়তা: “বসা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,verb
German for: like this (অনুরূপ এই),so | plural: — | IPA: zˈoː | Sie müssen das so machen! | You must do it like this! | বাংলা সহায়তা: “অনুরূপ এই” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,adjective/adverb/other
German for: so (সুতরাং),so | plural: — | IPA: zˈoː | Fahren Sie bitte nicht so schnell! | Please don’t drive so fast! | বাংলা সহায়তা: “সুতরাং” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,adjective/adverb/other
German for: as (যত),so | plural: — | IPA: zˈoː | Meine Frau ist so groß wie ich. | My wife is as tall as me. | বাংলা সহায়তা: “যত” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,adjective/adverb/other
German for: so (সুতরাং),"so | plural: — | IPA: zˈoː | So, das war's/wär's! | So, that's it! | বাংলা সহায়তা: “সুতরাং” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",7,active,very common,adjective/adverb/other
German for: sofa (sofa (ইংরেজি অর্থটি সহায়ক হিসেবে রাখা হয়েছে)); include article and plural,Sofa | plural: — | IPA: das zˈoːfɑː | Das Sofa ist neu. | The sofa is new. | বাংলা সহায়তা: “sofa (ইংরেজি অর্থটি সহায়ক হিসেবে রাখা হয়েছে)” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,noun
German for: immediately (তাৎ‍ক্ষণিকভাবে),sofort | plural: — | IPA: zoːfˈɔɾt | Bitte antworten Sie sofort. | Please answer immediately. | বাংলা সহায়তা: “তাৎ‍ক্ষণিকভাবে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,adjective/adverb/other
German for: son (পুত্র); include article and plural,"Sohn | plural: -ö, e | IPA: dɛɾ zˈoːn | Das ist Hans, mein Sohn. | That is Hans, my son. | বাংলা সহায়তা: “পুত্র” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",7,active,very common,noun
German for: should (উচিত),sollen | plural: — | IPA: zˈɔlən | Soll ich kommen? | Should I come? | বাংলা সহায়তা: “উচিত” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,adjective/adverb/other
German for: should (উচিত),sollen | plural: — | IPA: zˈɔlən | Was soll ich mitbringen? | What should I bring with me? | বাংলা সহায়তা: “উচিত” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,adjective/adverb/other
German for: late (দেরি),"spät | plural: — | IPA: ʃpˈɛːt | Es ist schon spät, ich muss gehen. | It is already late, I need to go. | বাংলা সহায়তা: “দেরি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",7,active,very common,adjective/adverb/other
German for: later (পরে),später | plural: — | IPA: ʃpˈɛːtɜ | Das können wir später machen. | We can do that later. | বাংলা সহায়তা: “পরে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,adjective/adverb/other
German for: menu (মেনু); include article and plural,"Speisekarte | plural: — | IPA: diː ʃpˈaɪzeːkˌaɾtə | Bringen Sie mir die Speisekarte, bitte. | Bring me the menu, please. | বাংলা সহায়তা: “মেনু” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",7,active,very common,noun
German for: to play (প্লে),spielen | plural: — | IPA: ʃpˈiːlən | Die Kinder spielen draußen. | The children are playing outside. | বাংলা সহায়তা: “প্লে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,verb
German for: to play (প্লে),spielen | plural: — | IPA: ʃpˈiːlən | Spielen Sie Karten? | Do you play cards? | বাংলা সহায়তা: “প্লে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,verb
German for: to be (written) (হওয়া),"stehen | plural: — | IPA: ʃtˈeːən | Ich glaube es nicht, aber es steht in der Zeitung. | I don’t believe it, but it says so in the paper. | বাংলা সহায়তা: “হওয়া” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",7,active,very common,verb
German for: to be (located) (হওয়া),stehen | plural: — | IPA: ʃtˈeːən | Der Bus steht schon an der Haltestelle. | The bus is already at the stop. | বাংলা সহায়তা: “হওয়া” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,verb
German for: to put (রাখা),stellen | plural: — | IPA: ʃtˈɛlən | Stell die Tasche rechts in die Ecke! | Put your bag on the right in the corner. | বাংলা সহায়তা: “রাখা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,verb
German for: floor (of a building) (মেঝে); include article and plural,Stock | plural: — | IPA: dɛɾ ʃtˈɔk | Unsere Wohnung liegt im ersten Stock. | Our flat is on the first floor. | বাংলা সহায়তা: “মেঝে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,noun
German for: tram (ট্রাম); include article and plural,Straßenbahn | plural: — | IPA: diː ʃtɾˈɑsənbˌɑːn | Wo fährt die Straßenbahn ab? | From where does the tram depart? | বাংলা সহায়তা: “ট্রাম” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,noun
German for: to study (অধ্যয়ন),studieren | plural: — | IPA: ʃtuːdˈiːrən | Ich studiere in Mainz. | I study in Mainz. | বাংলা সহায়তা: “অধ্যয়ন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,verb
German for: degree course (ডিগ্রী বিষয়); include article and plural,Studium | plural: — | IPA: das ʃtˈuːdiːˌʊm | Das Studium beginnt im Oktober. | The degree course begins in October. | বাংলা সহায়তা: “ডিগ্রী বিষয়” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,noun
German for: to look / search for (দেখা),suchen | plural: — | IPA: zˈuːxən | Suchst du etwas? | Are you looking for something? | বাংলা সহায়তা: “দেখা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,verb
German for: to dance (নৃত্য),tanzen | plural: — | IPA: tˈantsən | Tanzen Sie gern? | Do you like to dance? | বাংলা সহায়তা: “নৃত্য” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,verb
German for: bag (থলি); include article and plural,Tasche | plural: -n | IPA: diː tˈaʃə | Ich habe die Schlüssel in der Tasche. | I have the key in the bag. | বাংলা সহায়তা: “থলি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,noun
German for: taxi (ট্যাক্সি); include article and plural,Taxi | plural: -s | IPA: das tˈaksiː | Es gibt heute keinen Bus mehr. Er fährt mit dem Taxi. | There are no more buses today. He is travelling by taxi. | বাংলা সহায়তা: “ট্যাক্সি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,noun
German for: part (অংশ); include article and plural,Teil | plural: -e | IPA: dɛɾ tˈaɪl | Lies bitte auch den zweiten Teil. | Please also read the second part. | বাংলা সহায়তা: “অংশ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,noun
German for: test (টেস্ট); include article and plural,Test | plural: — | IPA: dɛɾ tˈɛst | Der Test war einfach. | The test was simple. | বাংলা সহায়তা: “টেস্ট” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,noun
German for: expensive (মূল্যবান),teuer | plural: — | IPA: tˈɔøɜ | Das ist mir zu teuer. | That is too expensive for me. | বাংলা সহায়তা: “মূল্যবান” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,adjective/adverb/other
German for: text (লেখা); include article and plural,Text | plural: -e | IPA: dɛɾ tˈɛkst | Lesen Sie bitte diesen Text. | Please read this text. | বাংলা সহায়তা: “লেখা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,noun
German for: topic (বিষয়বস্তু); include article and plural,Thema | plural: — | IPA: das tˈeːmɑː | Wir sprechen heute über das Thema „Essen und Trinken“. | Today we are talking about the topic “Food and Drink”. | বাংলা সহায়তা: “বিষয়বস্তু” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,noun
German for: daughter (কন্যা); include article and plural,Tochter | plural: -ö | IPA: diː tˈɔxtɜ | Das ist meine Tochter Katharina. | That is my daughter Katharina. | বাংলা সহায়তা: “কন্যা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,noun
German for: toilet (toilet (ইংরেজি অর্থটি সহায়ক হিসেবে রাখা হয়েছে)); include article and plural,"Toilette | plural: -en | IPA: diː tˈoːiːlˌɛtə | Wo ist die Toilette, bitte? | Where is the toilet, please? | বাংলা সহায়তা: “toilet (ইংরেজি অর্থটি সহায়ক হিসেবে রাখা হয়েছে)” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",7,active,very common,noun
German for: tomato (টমেটো); include article and plural,Tomate | plural: -n | IPA: diː toːmˈɑːtə | Die Tomate ist noch grün. | The tomato is still green. | বাংলা সহায়তা: “টমেটো” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,noun
German for: dead (মৃত),tot | plural: — | IPA: tˈoːt | Sein Vater ist schon lange tot. | His father has been dead for a long time. | বাংলা সহায়তা: “মৃত” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,adjective/adverb/other
German for: to meet (েদখা করা),(sich) treffen | plural: — | IPA: tɾˈɛfən | Ich treffe in der Stadt einen Kollegen. | I am meeting a colleague in town. | বাংলা সহায়তা: “েদখা করা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,verb
German for: to meet (েদখা করা),(sich) treffen | plural: — | IPA: tɾˈɛfən | Wir treffen uns immer freitags. | We always meet on Fridays. | বাংলা সহায়তা: “েদখা করা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,verb
German for: stairs (stairs (ইংরেজি অর্থটি সহায়ক হিসেবে রাখা হয়েছে)); include article and plural,Treppe | plural: -n | IPA: diː tɾˈɛpə | Die Toilette? Die Treppe hoch und dann links. | The toilet? Up the stairs and then left. | বাংলা সহায়তা: “stairs (ইংরেজি অর্থটি সহায়ক হিসেবে রাখা হয়েছে)” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,noun
German for: ... (... (ইংরেজি অর্থটি সহায়ক হিসেবে রাখা হয়েছে)),tschüss | plural: — | IPA: tʃˈʏs | Junge Leute sagen meistens „tschüss!“ und nicht „auf Wiedersehen“. | Young people mostly say “tschüss!” and not “auf Wiedersehen”. | বাংলা সহায়তা: “... (ইংরেজি অর্থটি সহায়ক হিসেবে রাখা হয়েছে)” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,adjective/adverb/other
German for: to do (কর),tun | plural: — | IPA: tˈuːn | Ich habe noch etwas zu tun. | I still have something to do. | বাংলা সহায়তা: “কর” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,verb
German for: to do (কর),tun | plural: — | IPA: tˈuːn | Was tut Ihr Mann? | What does your husband do? | বাংলা সহায়তা: “কর” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,verb
German for: across (অপর পারে),über | plural: — | IPA: ˈʏbɜ | Gehen Sie hier über die Straße. | Go across the street here. | বাংলা সহায়তা: “অপর পারে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,adjective/adverb/other
German for: above (উপরে),über | plural: — | IPA: ˈʏbɜ | Er wohnt im zweiten Stock über Familie Meier. | He lives on the second floor above the Meier family. | বাংলা সহায়তা: “উপরে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,common,adjective/adverb/other
German for: over (পার হয়ে যাওয়া),über | plural: — | IPA: ˈʏbɜ | Sind Sie über 18? | Are you over 18? | বাংলা সহায়তা: “পার হয়ে যাওয়া” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,common,adjective/adverb/other
German for: to stay overnight (থাকা রাতারাতি),übernachten | plural: — | IPA: ˌyːbɜnˈaxtən | Du kannst bei mir übernachten. | You can stay at mine overnight. | বাংলা সহায়তা: “থাকা রাতারাতি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,common,verb
German for: to transfer (স্থানান্তর),überweisen | plural: — | IPA: ˌyːbɜvˈaɪzən | Sie können das Geld auch überweisen. | You can also transfer the money. | বাংলা সহায়তা: “স্থানান্তর” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,common,verb
German for: o'clock / am / pm (পূর্বাহ্ণ); include article and plural,Uhr | plural: — | IPA: diː ˈuːɾ | Es ist vier Uhr. | It is four o’clock. | বাংলা সহায়তা: “পূর্বাহ্ণ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,common,noun
German for: around (চারপাশ),um | plural: — | IPA: ˈʊm | Da kommt er gerade um die Ecke. | Here he comes around the corner now. | বাংলা সহায়তা: “চারপাশ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,common,adjective/adverb/other
German for: to move (residence) (চাল),umziehen | plural: — | IPA: ʊmtsˈiːən | Nächsten Monat ziehen wir um. | Next month we are moving. | বাংলা সহায়তা: “চাল” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,recognition,common,verb
German for: our (আমাদের),unser- | plural: — | IPA: ˈʊnzɜ | Das ist unsere Lehrerin. | That is our teacher. | বাংলা সহায়তা: “আমাদের” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,recognition,common,adjective/adverb/other
German for: at the bottom (-এ বা কাছে তলা),unten | plural: — | IPA: ˈʊntən | Er wohnt ganz unten im Haus. | He lives right at the bottom of the house. | বাংলা সহায়তা: “-এ বা কাছে তলা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,recognition,common,adjective/adverb/other
German for: below (নিচে),unter | plural: — | IPA: ˈʊntɜ | Unter uns wohnt eine Familie mit drei Kindern. | Below us lives a family with three children. | বাংলা সহায়তা: “নিচে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,recognition,common,adjective/adverb/other
German for: class (শ্রেনী); include article and plural,Unterricht | plural: — | IPA: dɛɾ ˌʊntɜrˈɪçt | Wir haben Unterricht von 8:00 bis 12:00 Uhr. | We have classes from 8 am until 12 pm. | বাংলা সহায়তা: “শ্রেনী” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,recognition,common,noun
German for: to sign (চিহ্ন),unterschreiben | plural: — | IPA: ˌʊntɜʃrˈaɪbən | Wo muss ich unterschreiben? | Where do I need to sign? | বাংলা সহায়তা: “চিহ্ন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,recognition,common,verb
German for: signature (স্বাক্ষর); include article and plural,Unterschrift | plural: — | IPA: diː ˌʊntɜʃrˈɪft | Hier fehlt noch Ihre Unterschrift. | Your signature is missing here. | বাংলা সহায়তা: “স্বাক্ষর” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,recognition,common,noun
German for: holiday (ছুটির দিন); include article and plural,Urlaub | plural: — | IPA: dɛɾ ˈuːɾlaʊp | Ich nehme im September Urlaub. | I’m taking holiday in September. | বাংলা সহায়তা: “ছুটির দিন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,recognition,common,noun
German for: forbidden (নিষিদ্ধ),verboten | plural: — | IPA: fɛɾbˈoːtən | Hier ist Rauchen verboten. | Smoking is forbidden here. | বাংলা সহায়তা: “নিষিদ্ধ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,recognition,common,adjective/adverb/other
German for: to earn (আয় করা),"verdienen | plural: — | IPA: fɛɾdˈiːnən | Ich verdiene 1.500 Euro im Monat. | I earn 1,500 euros per month. | বাংলা সহায়তা: “আয় করা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",7,recognition,common,verb
German for: club (ক্লাব); include article and plural,Verein | plural: — | IPA: dɛɾ fɛrˈaɪn | Es gibt einen neuen Sportverein in der Stadt. | There is a new sports club in the town. | বাংলা সহায়তা: “ক্লাব” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,recognition,common,noun
German for: married (বিবাহিত),verheiratet | plural: — | IPA: fɛɾhaɪrˈɑːtət | Ich bin verheiratet und habe drei Kinder. | I am married and have three children. | বাংলা সহায়তা: “বিবাহিত” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,recognition,common,adjective/adverb/other
German for: to sell (বিক্রি করা),verkaufen | plural: — | IPA: fɛɾkˈaʊfən | Er verkauft sein altes Auto. | He is selling his old car. | বাংলা সহায়তা: “বিক্রি করা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,recognition,common,verb
German for: salesperson (salesperson (ইংরেজি অর্থটি সহায়ক হিসেবে রাখা হয়েছে)); include article and plural,Verkäufer | plural: – | IPA: dɛɾ fɛɾkˈɔøfɜ | Meine Mutter ist Verkäuferin im Kaufhaus. | My mother is a saleswoman in a department store. | বাংলা সহায়তা: “salesperson (ইংরেজি অর্থটি সহায়ক হিসেবে রাখা হয়েছে)” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,recognition,common,noun
German for: to rent out (ভাড়া বাইরে),vermieten | plural: — | IPA: fɛɾmˈiːtən | Die Wohnung ist schon vermietet. | The flat is already rented out. | বাংলা সহায়তা: “ভাড়া বাইরে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,recognition,common,verb
German for: landlord (বাড়ির মালিক); include article and plural,"Vermieter | plural: — | IPA: dɛɾ fɛɾmˈiːtɜ | Unser Vermieter heißt Huber. Er wohnt auch hier. | Our landlord is called Huber. He lives here, too. | বাংলা সহায়তা: “বাড়ির মালিক” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",7,recognition,common,noun
German for: relative (তুলনায়); include article and plural,Verwandte | plural: -n | IPA: dɛɾ fɛɾvˈantə | Peter besucht seine Verwandten in Polen. | Peter visits his relatives in Poland. | বাংলা সহায়তা: “তুলনায়” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,recognition,common,noun
