Front,Back,Week,Status,Frequency,PartOfSpeech
German for: car (গাড়ি); include article and plural,Auto | plural: -s | IPA: das ˈaʊtoː | Er kommt mit dem Auto. | He’s coming by car. | বাংলা সহায়তা: “গাড়ি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,noun
German for: left (বাকি আছে),links | plural: — | IPA: lˈɪŋks | Gehen Sie die nächste Straße links. | Go down the next street on the left. | বাংলা সহায়তা: “বাকি আছে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,adjective/adverb/other
German for: right (ডানদিক),rechts | plural: — | IPA: rˈɛçts | Die Schillerstraße ist hier rechts. | Schillerstraße is on the right here. | বাংলা সহায়তা: “ডানদিক” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,adjective/adverb/other
German for: to travel (ভ্রমণ),reisen | plural: — | IPA: rˈaɪzən | Ich reise gern. | I like to travel. | বাংলা সহায়তা: “ভ্রমণ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,verb
German for: journey / trip (যাত্রা বা ভ্রমণ); include article and plural,Reise | plural: — | IPA: diː rˈaɪzə | Wir machen eine Reise nach Österreich. | We are going on a trip to Austria. | বাংলা সহায়তা: “যাত্রা বা ভ্রমণ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,noun
German for: travel agency (ভ্রমণ সংস্থা); include article and plural,Reisebüro | plural: -s | IPA: das rˈaɪzeːbˌyːroː | Mein Mann arbeitet im Reisebüro. | My husband works at a travel agency. | বাংলা সহায়তা: “ভ্রমণ সংস্থা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,noun
German for: travel guide (ভ্রমণ নির্দেশিকা); include article and plural,Reiseführer | plural: — | IPA: dɛɾ rˈaɪzeːfˌyːrɜ | Ich kaufe mir einen Reiseführer von Berlin. | I will buy myself a travel guide for Berlin. | বাংলা সহায়তা: “ভ্রমণ নির্দেশিকা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,noun
German for: right / correct (ডানদিক),richtig | plural: — | IPA: rˈɪçtɪç | Das ist richtig. | That's right. | বাংলা সহায়তা: “ডানদিক” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,adjective/adverb/other
German for: commuter train (শহরতলির ট্রেন); include article and plural,S-Bahn | plural: — | IPA: diː ˈɛsbˈɑːn | Ich nehme lieber die S-Bahn. | I prefer to take the commuter train. | বাংলা সহায়তা: “শহরতলির ট্রেন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,noun
German for: town / city (শহর); include article and plural,"Stadt | plural: -ä, e | IPA: diː ʃtˈat | Heidelberg ist eine alte Stadt. | Heidelberg is an old town. | বাংলা সহায়তা: “শহর” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",5,active,very common,noun
German for: street (রাস্তা); include article and plural,Straße | plural: -n | IPA: diː ʃtɾˈɑːsə | In welcher Straße wohnen Sie? | Which street do you live on? | বাংলা সহায়তা: “রাস্তা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,noun
German for: ticket (টিকিট); include article and plural,Ticket | plural: -s | IPA: das tˈɪkət | Wie viel kostet das Ticket? | How much does the ticket cost? | বাংলা সহায়তা: “টিকিট” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,noun
German for: train (ট্রেন); include article and plural,"Zug | plural: -ü, e | IPA: dɛɾ tsˈuːk | Ich fahre gern mit dem Zug. | I like to travel by train. | বাংলা সহায়তা: “ট্রেন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",5,active,very common,noun
German for: underground train (পাতাল রেল); include article and plural,U-Bahn | plural: -en | IPA: diː ˈuːbˈɑːn | Das ist die U-Bahn. | This is the underground train. | এটি পাতাল রেল।,5,active,very common,noun
German for: tram (ট্রাম); include article and plural,Straßenbahn | plural: -en | IPA: diː ʃtɾˈɑsənbˌɑːn | Das ist die Straßenbahn. | This is the tram. | এটি ট্রাম।,5,active,very common,noun
German for: bus stop (বাসস্টপ); include article and plural,Bushaltestelle | plural: -n | IPA: diː bˈʊshaltˌɛʃtɛlə | Das ist die Bushaltestelle. | This is the bus stop. | এটি বাসস্টপ।,5,active,very common,noun
German for: main station (প্রধান রেলস্টেশন); include article and plural,Hauptbahnhof | plural: Hauptbahnhöfe | IPA: dɛɾ hˈaʊptbˌɑːnhoːf | Das ist der Hauptbahnhof. | This is the main station. | এটি প্রধান রেলস্টেশন।,5,active,very common,noun
German for: delay (বিলম্ব); include article and plural,Verspätung | plural: -en | IPA: diː fɛɾʃpˈɛːtʊŋ | Das ist die Verspätung. | This is the delay. | এটি বিলম্ব।,5,active,very common,noun
German for: timetable (সময়সূচি); include article and plural,Fahrplan | plural: Fahrpläne | IPA: dɛɾ fɑːɾplˈɑːn | Das ist der Fahrplan. | This is the timetable. | এটি সময়সূচি।,5,active,very common,noun
German for: single ticket (একবারের টিকিট); include article and plural,Einzelfahrkarte | plural: -n | IPA: diː ˈaɪntsˌɛlfɑːɾkˌaɾtə | Das ist die Einzelfahrkarte. | This is the single ticket. | এটি একবারের টিকিট।,5,active,very common,noun
German for: return ticket (ফেরতসহ টিকিট); include article and plural,Rückfahrkarte | plural: -n | IPA: diː rˈʏkfɑːɾkˌaɾtə | Das ist die Rückfahrkarte. | This is the return ticket. | এটি ফেরতসহ টিকিট।,5,active,very common,noun
German for: roundabout (গোলচত্বর); include article and plural,Kreisverkehr | plural: -e | IPA: dɛɾ kɾˈaɪsfɜkˌeːɾ | Das ist der Kreisverkehr. | This is the roundabout. | এটি গোলচত্বর।,5,active,very common,noun
German for: intersection (রাস্তার মোড়); include article and plural,Kreuzung | plural: -en | IPA: diː kɾˈɔøtsʊŋ | Das ist die Kreuzung. | This is the intersection. | এটি রাস্তার মোড়।,5,active,very common,noun
German for: traffic light (ট্রাফিক লাইট); include article and plural,Ampel | plural: -n | IPA: diː ˈampəl | Das ist die Ampel. | This is the traffic light. | এটি ট্রাফিক লাইট।,5,active,very common,noun
German for: opposite (বিপরীতে),gegenüber | plural: — | IPA: ɡˌeːɡənˈyːbɜ | Wir benutzen heute „gegenüber“. | Today we use “opposite”. | আজ আমরা “বিপরীতে” অর্থটি ব্যবহার করি।,5,active,very common,preposition
German for: nearby (কাছাকাছি),in der Nähe | plural: — | IPA: ɪn dɛɾ nˈɛːə | Wir benutzen heute „in der Nähe“. | Today we use “nearby”. | আজ আমরা “কাছাকাছি” অর্থটি ব্যবহার করি।,5,active,very common,phrase
German for: reservation (সংরক্ষণ); include article and plural,Reservierung | plural: -en | IPA: diː rˌeːzɛɾvˈiːrʊŋ | Das ist die Reservierung. | This is the reservation. | এটি সংরক্ষণ।,5,active,very common,noun
German for: to check in (চেক ইন করা),einchecken | plural: — | IPA: ˈaɪnçˌɛkən | Wir üben heute das Verb „einchecken“. | Today we practise the verb “to check in”. | আজ আমরা “চেক ইন করা” অর্থের ক্রিয়াটি অনুশীলন করি।,5,active,very common,verb
German for: to check out (চেক আউট করা),auschecken | plural: — | IPA: ˈaʊsçˌɛkən | Wir üben heute das Verb „auschecken“. | Today we practise the verb “to check out”. | আজ আমরা “চেক আউট করা” অর্থের ক্রিয়াটি অনুশীলন করি।,5,active,very common,verb
German for: Wi-Fi (ওয়াই-ফাই); include article and plural,das WLAN | plural: - | IPA: das vˈeːlˈɑːn | Wir benutzen heute „das WLAN“. | Today we use “Wi-Fi”. | আজ আমরা “ওয়াই-ফাই” অর্থটি ব্যবহার করি।,5,active,very common,noun
German for: passport (পাসপোর্ট); include article and plural,Reisepass | plural: Reisepässe | IPA: dɛɾ rˈaɪzeːpˌas | Das ist der Reisepass. | This is the passport. | এটি পাসপোর্ট।,5,active,very common,noun
German for: suitcase (স্যুটকেস); include article and plural,Koffer | plural: - | IPA: dɛɾ kˈɔfɜ | Das ist der Koffer. | This is the suitcase. | এটি স্যুটকেস।,5,active,very common,noun
German for: luggage (লাগেজ); include article and plural,das Gepäck | plural: - | IPA: das ɡəpˈɛk | Wir benutzen heute „das Gepäck“. | Today we use “luggage”. | আজ আমরা “লাগেজ” অর্থটি ব্যবহার করি।,5,active,very common,noun
German for: no (না),"nicht | plural: — | IPA: nˈɪçt | Das ist doch schön, nicht? | That’s really beautiful, no? | বাংলা সহায়তা: “না” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",5,active,very common,adjective/adverb/other
German for: … (প্রাসঙ্গিক বাক্যাংশ),"nichts | plural: — | IPA: nˈɪçts | Das macht nichts. | It's okay, don't worry. | বাংলা সহায়তা: “প্রাসঙ্গিক বাক্যাংশ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",5,active,very common,adjective/adverb/other
German for: nothing (কিছুইনা),nichts | plural: — | IPA: nˈɪçts | Hier kaufe ich nichts. Der Laden gefällt mir nicht. | I won’t buy anything here. I don’t like the shop. | বাংলা সহায়তা: “কিছুইনা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,adjective/adverb/other
German for: never (কখনো না),nie | plural: — | IPA: nˈiː | Er kommt nie pünktlich. | He is never on time. | বাংলা সহায়তা: “কখনো না” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,adjective/adverb/other
German for: still (এখনও),noch | plural: — | IPA: nˈɔx | Vielleicht kommt er noch. | Perhaps he will still come. | বাংলা সহায়তা: “এখনও” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,adjective/adverb/other
German for: another (অন্য একটি),noch | plural: — | IPA: nˈɔx | Wir warten noch fünf Minuten. | We will wait another five minutes. | বাংলা সহায়তা: “অন্য একটি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,adjective/adverb/other
German for: still (এখনও),noch | plural: — | IPA: nˈɔx | Ich habe noch 20 Euro. | I still have 20 euros. | বাংলা সহায়তা: “এখনও” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,adjective/adverb/other
German for: normal (স্বাভাবিক),normal | plural: — | IPA: nˈɔɾmɑːl | 75 kg. Sein Gewicht ist normal. | 75 kg. His weight is normal. | বাংলা সহায়তা: “স্বাভাবিক” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,adjective/adverb/other
German for: only (একমাত্র),nur | plural: — | IPA: nˈuːɾ | Ich möchte nur ein Glas Wasser. | I only want a glass of water. | বাংলা সহায়তা: “একমাত্র” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,adjective/adverb/other
German for: upstairs (উপরতলায়),oben | plural: — | IPA: ˈoːbən | Ich wohne oben. | I live upstairs. | বাংলা সহায়তা: “উপরতলায়” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,adjective/adverb/other
German for: to open (মুক্ত),öffnen | plural: — | IPA: ˈœfnən | Ich öffne die Tür. | I open the door. | বাংলা সহায়তা: “মুক্ত” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,verb
German for: open (মুক্ত),geöffnet | plural: — | IPA: ɡəˈœfnət | Der Laden ist samstags bis 16:00 Uhr geöffnet. | The shop is open until 4 pm on Saturdays. | বাংলা সহায়তা: “মুক্ত” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,adjective/adverb/other
German for: often (প্রায়শই),oft | plural: — | IPA: ˈɔft | Petra treffe ich oft. | I often meet Petra. | বাংলা সহায়তা: “প্রায়শই” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,adjective/adverb/other
German for: without (ব্যতীত),ohne | plural: — | IPA: ˈoːnə | Ohne Geld kann er nichts kaufen. | Without money he can’t buy anything. | বাংলা সহায়তা: “ব্যতীত” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,adjective/adverb/other
German for: oil (তেল); include article and plural,Öl | plural: — | IPA: das ˈøːl | Den Salat machen wir ohne Öl. | We make the salad without oil. | বাংলা সহায়তা: “তেল” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,noun
German for: grandmother (দাদি বা নানি); include article and plural,Oma | plural: -s | IPA: diː ˈoːmɑː | Meine Oma ist schon tot. | My grandmother is already dead. | বাংলা সহায়তা: “দাদি বা নানি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,noun
German for: grandfather (দাদা বা নানা); include article and plural,Opa | plural: -s | IPA: dɛɾ ˈoːpɑː | Mein Opa heißt Hans. | My grandfather is called Hans. | বাংলা সহায়তা: “দাদা বা নানা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,noun
German for: … (প্রাসঙ্গিক বাক্যাংশ); include article and plural,Ordnung | plural: — | IPA: diː ˈɔɾdnʊŋ | Das ist in Ordnung. | That is in order/acceptable/fine. | বাংলা সহায়তা: “প্রাসঙ্গিক বাক্যাংশ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,noun
German for: location / place (অবস্থান); include article and plural,Ort | plural: -e | IPA: dɛɾ ˈɔɾt | Der Ort liegt am Meer. | That place is by the sea. | বাংলা সহায়তা: “অবস্থান” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,noun
German for: paper (কাগজ); include article and plural,Papier | plural: — | IPA: das papˈiːɾ | Hier sind Papier und Bleistift. | Here is a pencil and paper. | বাংলা সহায়তা: “কাগজ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,noun
German for: papers (কাগজপত্র); include article and plural,Papiere (pl.) | plural: — | IPA: diː papˈiːrə | Haben Sie Ihre Papiere dabei? | Do you have your papers with you? | বাংলা সহায়তা: “কাগজপত্র” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,noun
German for: (male) partner (সঙ্গী); include article and plural,Partner | plural: - | IPA: dɛɾ pˈaɾtnɜ | Er is mein Partner. | He is my partner. | বাংলা সহায়তা: “সঙ্গী” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,noun
German for: (female) partner (সঙ্গী); include article and plural,Partnerin | plural: -nen | IPA: diː pˈaɾtnərˌɪn | Sie ist meine Partnerin. | She is my partner. | বাংলা সহায়তা: “সঙ্গী” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,noun
German for: party (দল); include article and plural,Party | plural: — | IPA: diː (en)pˈɑːti(de) | Heute Abend machen wir eine Party. | This evening we are having a party. | বাংলা সহায়তা: “দল” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,noun
German for: passport (পাশপোর্ট); include article and plural,"Pass | plural: -ä, e | IPA: dɛɾ pˈas | Im Hotel brauchst du deinen Pass. | In the hotel you need your passport. | বাংলা সহায়তা: “পাশপোর্ট” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",5,active,very common,noun
German for: break (বিরতি); include article and plural,Pause | plural: -n | IPA: diː pˈaʊzə | Von 12:00 bis 12:30 Uhr haben wir Mittagspause. | From 12 until 12:30 pm we have a lunch break. | বাংলা সহায়তা: “বিরতি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,noun
German for: map / plan (মানচিত্র); include article and plural,"Plan | plural: -ä, e | IPA: dɛɾ plˈɑːn | Ich kaufe mir einen Stadtplan. | I will buy myself a map of the town. | বাংলা সহায়তা: “মানচিত্র” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",5,active,very common,noun
German for: seat (আসন); include article and plural,"Platz | plural: -ä, e | IPA: dɛɾ plˈats | Tut mir leid, der Platz ist besetzt. | I’m sorry, this seat is taken. | বাংলা সহায়তা: “আসন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",5,active,very common,noun
German for: seat (আসন); include article and plural,"Platz | plural: -ä, e | IPA: dɛɾ plˈats | Bitte nehmen Sie Platz! | Please take a seat! | বাংলা সহায়তা: “আসন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",5,active,very common,noun
German for: square (চৌকো); include article and plural,"Platz | plural: -ä, e | IPA: dɛɾ plˈats | Ich wohne neben dem Platz. | I live next to the square. | বাংলা সহায়তা: “চৌকো” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",5,active,very common,noun
German for: chips (ফ্রেঞ্চ ফ্রাই); include article and plural,Pommes frites (pl.) | plural: — | IPA: diː pˈɔməs frˈiːtəs | Die Kinder essen Hähnchen mit Pommes frites. | The children are eating chicken and chips. | বাংলা সহায়তা: “ফ্রেঞ্চ ফ্রাই” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,noun
German for: post office (ডাকঘর); include article and plural,"Post | plural: — | IPA: diː pˈɔst | Wo ist die Post, bitte? | Where is the post office, please? | বাংলা সহায়তা: “ডাকঘর” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",5,active,very common,noun
German for: post / mail (পোষ্ট); include article and plural,Post | plural: — | IPA: diː pˈɔst | Ist Post da? | Is there post? | বাংলা সহায়তা: “পোষ্ট” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,noun
German for: postcode (ডাক কোড); include article and plural,Postleitzahl | plural: — | IPA: diː pˈɔstlaɪtsˌɑːl | Wie ist Ihre Postleitzahl? | What is your postcode? | বাংলা সহায়তা: “ডাক কোড” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,noun
German for: internship (ইন্টার্নশিপ); include article and plural,Praktikum | plural: — | IPA: das pɾˈaktiːkˌʊm | Ich mache ein Praktikum bei Siemens. | I am doing an internship at Siemens. | বাংলা সহায়তা: “ইন্টার্নশিপ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,noun
German for: practice (অভ্যাস); include article and plural,Praxis | plural: — | IPA: diː pɾˈaksɪs | Die Praxis ist ab acht Uhr geöffnet. | The practice is open from 8 am. | বাংলা সহায়তা: “অভ্যাস” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,noun
German for: problem (সমস্যা); include article and plural,Problem | plural: -e | IPA: das pɾoːblˈeːm | Mein Problem ist die Sprache. | My problem is the language. | বাংলা সহায়তা: “সমস্যা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,noun
German for: brochure (তথ্যপুস্তিকা); include article and plural,Prospekt | plural: -e | IPA: dɛɾ pɾoːspˈɛkt | Bitte schicken Sie mir einen Prospekt von Ihrem Hotel. | Please send me a brochure for your hotel. | বাংলা সহায়তা: “তথ্যপুস্তিকা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,noun
German for: sharp (ধারাল),pünktlich | plural: — | IPA: pˈʏŋktlɪç | Der Bus fährt pünktlich um acht Uhr. | The bus leaves at 8 am sharp. | বাংলা সহায়তা: “ধারাল” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,adjective/adverb/other
German for: punctual (সময়নিষ্ঠ),pünktlich | plural: — | IPA: pˈʏŋktlɪç | Herr Müller ist immer pünktlich. | Mr Müller is always punctual. | বাংলা সহায়তা: “সময়নিষ্ঠ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,adjective/adverb/other
German for: to cycle (চক্র),Rad fahren | plural: — | IPA: rˈɑːt fˈɑːrən | Das Kind kann schon Rad fahren. | The child can already ride a bike. | বাংলা সহায়তা: “চক্র” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,verb
German for: to smoke (ধূমপান করা),rauchen | plural: — | IPA: rˈaʊxən | Ich rauche nicht. | I don’t smoke. | বাংলা সহায়তা: “ধূমপান করা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,verb
German for: bill (বিল); include article and plural,"Rechnung | plural: -en | IPA: diː rˈɛçnʊŋ | Die Rechnung, bitte. | The bill, please. | বাংলা সহায়তা: “বিল” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",5,active,very common,noun
German for: rice (ধান); include article and plural,Reis | plural: — | IPA: dɛɾ rˈaɪs | Ich esse gern Reis. | I like eating rice. | বাংলা সহায়তা: “ধান” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,noun
German for: tour guide (পর্যটক গাইড); include article and plural,Reiseführer | plural: — | IPA: dɛɾ rˈaɪzeːfˌyːrɜ | Unser Reiseführer heißt Peter. | Our tour guide is called Peter. | বাংলা সহায়তা: “পর্যটক গাইড” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,common,noun
German for: to repair (মেরামত),reparieren | plural: — | IPA: rˌeːparˈiːrən | Er hat das Fahrrad repariert. | He repaired the bicycle. | বাংলা সহায়তা: “মেরামত” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,common,verb
German for: repair (মেরামত); include article and plural,Reparatur | plural: — | IPA: diː rˈeːparˌɑtuːɾ | Die Reparatur ist sehr teuer. | The repair is very expensive. | বাংলা সহায়তা: “মেরামত” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,common,noun
German for: reception (অভ্যর্থনা ডেস্ক); include article and plural,Rezeption | plural: — | IPA: diː rˌeːtsɛptsɪˈoːn | Fragen Sie bitte im Hotel an der Rezeption. | Please ask at the hotel reception. | বাংলা সহায়তা: “অভ্যর্থনা ডেস্ক” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,common,noun
German for: to smell (গন্ধ),riechen | plural: — | IPA: rˈiːçən | Dieser Wein riecht gut. | This wine smells good. | বাংলা সহায়তা: “গন্ধ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,common,verb
German for: quiet (শান্ত),ruhig | plural: — | IPA: rˈuːɪç | Ich möchte ein ruhiges Zimmer. | I would like a quiet room. | বাংলা সহায়তা: “শান্ত” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,common,adjective/adverb/other
German for: juice (রস); include article and plural,Saft | plural: — | IPA: dɛɾ zˈaft | Möchtest du einen Apfelsaft? | Would you like an apple juice? | বাংলা সহায়তা: “রস” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,recognition,common,noun
German for: to say / tell (বল),"sagen | plural: — | IPA: zˈɑːɡən | Sag mal, wie geht es dir denn? | Tell me, how’s it going? | বাংলা সহায়তা: “বল” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",5,recognition,common,verb
German for: salad (সালাদ); include article and plural,Salat | plural: — | IPA: dɛɾ zalˈɑːt | Wie schmeckt dir der Salat? | How does the salad taste? | বাংলা সহায়তা: “সালাদ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,recognition,common,noun
German for: salt (নুন); include article and plural,"Salz | plural: — | IPA: das zˈalts | Entschuldigung, kann ich bitte das Salz haben? | Excuse me, can I have the salt please? | বাংলা সহায়তা: “নুন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",5,recognition,common,noun
German for: sentence (বাক্য); include article and plural,"Satz | plural: -ä, e | IPA: dɛɾ zˈats | Dieser Satz ist sehr einfach. | This sentence is very simple. | বাংলা সহায়তা: “বাক্য” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",5,recognition,common,noun
